B_Index,N_Index,Cl_Index,conf_idxs_ts,TS_G,deltaG(kcal/mol),deltaGa(kcal/mol),B_Cl,C_Cl,G_energy_qharm,TS_G_qharm,deltaG_react_qharm,deltaG_qharm(kcal/mol),deltaGa_qharm(kcal/mol)
389,72,483,3,-2093.575371,0.96628725,26.69476615,2.2512262,1.993832186,-2093.705824,-2093.67069,0.432753031,0.432753031,22.04718875
389,77,483,11,-2102.915799,1.94832475,26.9648798,2.239465148,2.015345685,-2103.031237,-2102.995173,2.472113115,2.472113115,22.63040196
389,80,483,0,-2008.294377,0.97808425,27.20025505,2.239976591,2.019325863,-2008.39911,-2008.361725,2.123443348,2.123443348,23.45924957
389,141,480,10,-2093.157229,25.641909,30.20672677,2.201746007,2.055906721,-2093.236802,-2093.195205,1.016173569,1.016173569,26.10272376
389,141,483,10,-2037.781146,8.15499,34.38319735,2.145999942,2.065715087,-2037.866648,-2037.816451,8.413587024,8.413587024,31.49918827
389,141,485,0,-2059.780599,2.017287,31.40587927,2.188833931,2.07004507,-2059.881394,-2059.837932,2.092959989,2.092959989,27.27306937
389,141,492,0,-1908.360754,30.82976525,34.24547993,2.118396548,2.080092932,-1908.441968,-1908.390804,9.262013045,9.262013045,32.10577719
389,143,475,0,-1315.448618,-2.272554,25.15119145,1.867871724,2.277076387,-1315.57439,-1315.541652,-0.222996039,-0.222996039,20.54346571
389,143,478,12,-1521.027292,2.63041725,31.58430263,2.122850827,2.117523045,-1521.185434,-1521.139733,4.388306534,4.388306534,28.67779684
389,143,479,10,-2192.180909,-1.32528,29.521365,2.162755457,2.067650106,-2192.379232,-2192.336203,0.62201118,0.62201118,27.00103917
389,143,480,0,-2071.956291,23.0652685,29.08609335,2.198110101,2.05975979,-2072.095294,-2072.053689,-0.136951017,-0.136951017,26.10709585
389,143,481,11,-1513.940511,0.60622775,30.07052163,2.056424338,2.102209764,-1514.054762,-1514.00984,3.201512998,3.201512998,28.18943627
389,143,485,0,-2038.581325,-0.5593535,29.24071562,2.191042563,2.073269838,-2038.739886,-2038.698955,0.939835404,0.939835404,25.68404152
389,143,490,10,-1375.39256,0.274594,30.2791842,2.135089686,2.097001014,-1375.510115,-1375.466729,1.682220837,1.682220837,27.22535106
389,143,492,12,-1887.159094,28.25312475,33.5776756,2.057183165,2.0642156,-1887.30046,-1887.250193,8.10888846,8.10888846,31.54261221
389,143,596,3,-1628.244362,0.719115,30.05800927,2.083891014,2.095614679,-1628.390768,-1628.346504,2.5251976,2.5251976,27.77619812
389,143,618,12,-2808.592436,-0.18705775,29.95742102,2.153940287,2.081593962,-2808.731979,-2808.688613,1.473504905,1.473504905,27.21212045
389,160,482,12,-2031.93763,10.91981775,33.22360245,2.068946661,2.250218493,-2032.163138,-2032.116607,12.93707909,12.93707909,29.19840628
389,160,490,10,-1209.641273,18.60656725,39.59340515,2.001014786,2.316190069,-1209.772264,-1209.714833,20.8116287,20.8116287,36.03890969
389,160,494,0,-1735.404411,5.5878875,31.40182562,2.120634496,2.197687743,-1735.534734,-1735.493932,7.339206172,7.339206172,25.60326167
389,176,483,1,-1929.346139,8.415026,29.57027863,2.20374089,2.073492262,-1929.494172,-1929.452173,10.12519977,10.12519977,26.35489691
389,177,483,1,-1776.807838,11.7898465,33.20515395,2.171720286,2.081638735,-1776.944699,-1776.894609,13.78194355,13.78194355,31.4319068
389,178,483,10,-1878.389018,14.742485,31.53688873,2.038243446,1.99534045,-1878.570584,-1878.5216,16.64637791,16.64637791,30.73763076
389,193,483,10,-1968.695777,16.828546,38.41647242,2.154825564,2.102988564,-1968.864608,-1968.808813,19.27180876,19.27180876,35.01194384
389,201,483,0,-2046.827722,6.75949275,19.29507908,2.06796806,2.028321137,-2047.029763,-2046.999104,9.620908158,9.620908158,19.23872581
389,223,483,11,-1837.898609,13.14844675,29.67204658,2.010333426,2.012247534,-1838.079489,-1838.031753,14.74108702,14.74108702,29.9548717
389,237,483,1,-1802.214769,3.743665,19.4330726,2.018477943,1.989905016,-1802.36018,-1802.327747,7.456838039,7.456838039,20.35202527
389,245,483,2,-1758.361814,13.620515,32.9719122,2.001790538,1.975719987,-1758.51346,-1758.459162,16.66703416,16.66703416,34.07232808
389,260,483,11,-1857.554329,-2.3108315,12.3311531,2.057534482,2.021434112,-1857.695619,-1857.676814,0.669898556,0.669898556,11.80030557
389,263,483,10,-1876.240335,9.1003815,29.24608702,2.022381361,1.965063578,-1876.406434,-1876.358867,12.18650449,12.18650449,29.84931285
389,296,483,10,-1924.101632,18.429173,40.97661595,2.106606949,2.089877374,-1924.304046,-1924.242838,19.46060024,19.46060024,38.40837204
389,298,483,1,-1739.659898,12.96082425,28.9953694,2.005166181,1.987647571,-1739.808462,-1739.762672,15.40550244,15.40550244,28.73371239
389,301,483,13,-1928.886151,11.84161525,24.58806668,2.027218112,2.056305502,-1929.050525,-1929.0141,13.59905441,13.59905441,22.85723444
389,307,483,2,-1814.658921,13.102702,27.95094585,2.01298131,2.010615617,-1814.831271,-1814.785435,15.43430172,15.43430172,28.76250362
