B_smiles,B_Index,B_Atomid,N_smiles,N_Index,N_Atomid,Cl_smiles,Cl_Index,Cl_Atomid,B_N_Cl_conf,Cl_r_conf,deltaG_react,component_id,identifier,in_final_ts,n_hit_files,n_ts_candidate_hit_files,n_hit_full_conf_files,n_hit_component_only_files,n_hit_component_only_ts_fallback_files,n_hit_component_only_non_ts_artifact_files,n_hit_folders,has_ambiguous_component_hit,hit_match_scopes,hit_search_spaces,hit_folders,hit_suffixes,hit_paths,has_file_hit,has_ts_candidate_file_hit,has_full_conf_file_hit,has_component_only_file_hit,has_component_only_ts_fallback_hit,has_component_only_non_ts_artifact_hit
CN1BN(C)CC1,436,2,COP(c1ccccc1)c1ccccc1,89,2,ClC(Cl)C1OCCO1,540,0,0,0,-5.988358,B_00436_Nu_00089_Cl_00540,B_00436_Nu_00089_Cl_00540_0000,False,21,20,20,1,0,1,11,False,component_only | full_conf,Data/first_10000/* | Sum/* | Y backup Data/*/*,IRC | Mols | OM | OtherIRCs | TS | TS_ENG | first_10000/IRC | first_10000/TS | first_10000/TS_ENG | first_10000/ts_irc_fail_new | ts_irc_fail_new,.gjf | .log | .mol,E:\work\B_Cl_Nu\Data\first_10000\IRC\B_00436_Nu_00089_Cl_00540_0000forward.gjf | E:\work\B_Cl_Nu\Data\first_10000\IRC\B_00436_Nu_00089_Cl_00540_0000forward.log | E:\work\B_Cl_Nu\Data\first_10000\IRC\B_00436_Nu_00089_Cl_00540_0000reverse.gjf | E:\work\B_Cl_Nu\Data\first_10000\IRC\B_00436_Nu_00089_Cl_00540_0000reverse.log | E:\work\B_Cl_Nu\Data\first_10000\Mols\B_00436_Nu_00089_Cl_00540.mol | E:\work\B_Cl_Nu\Data\first_10000\OM\B_00436_Nu_00089_Cl_00540_0000.gjf | E:\work\B_Cl_Nu\Data\first_10000\OM\B_00436_Nu_00089_Cl_00540_0000.log | E:\work\B_Cl_Nu\Data\first_10000\TS\B_00436_Nu_00089_Cl_00540_0000.gjf | E:\work\B_Cl_Nu\Data\first_10000\TS_ENG\B_00436_Nu_00089_Cl_00540_0000.gjf | E:\work\B_Cl_Nu\Data\first_10000\TS_ENG\B_00436_Nu_00089_Cl_00540_0000.log | E:\work\B_Cl_Nu\Data\first_10000\ts_irc_fail_new\B_00436_Nu_00089_Cl_00540_0000.log | E:\work\B_Cl_Nu\Sum\OtherIRCs\B_00436_Nu_00089_Cl_00540_0000forward.log | E:\work\B_Cl_Nu\Sum\OtherIRCs\B_00436_Nu_00089_Cl_00540_0000reverse.log | Y:\cold-data\数据备份\B_Cl_Nu\Data\first_10000\IRC\B_00436_Nu_00089_Cl_00540_0000forward.gjf | Y:\cold-data\数据备份\B_Cl_Nu\Data\first_10000\IRC\B_00436_Nu_00089_Cl_00540_0000forward.log | Y:\cold-data\数据备份\B_Cl_Nu\Data\first_10000\IRC\B_00436_Nu_00089_Cl_00540_0000reverse.gjf | Y:\cold-data\数据备份\B_Cl_Nu\Data\first_10000\IRC\B_00436_Nu_00089_Cl_00540_0000reverse.log | Y:\cold-data\数据备份\B_Cl_Nu\Data\first_10000\TS\B_00436_Nu_00089_Cl_00540_0000.gjf | Y:\cold-data\数据备份\B_Cl_Nu\Data\first_10000\TS_ENG\B_00436_Nu_00089_Cl_00540_0000.gjf | Y:\cold-data\数据备份\B_Cl_Nu\Data\first_10000\TS_ENG\B_00436_Nu_00089_Cl_00540_0000.log | Y:\cold-data\数据备份\B_Cl_Nu\Data\first_10000\ts_irc_fail_new\B_00436_Nu_00089_Cl_00540_0000.log,True,True,True,True,False,True
N#CBF,437,2,CC12COCN1COC2,66,5,ClC(Cl)(Cl)c1ccccc1,447,0,0,0,-75.0117265,B_00437_Nu_00066_Cl_00447,B_00437_Nu_00066_Cl_00447_0000,False,5,4,4,1,0,1,4,False,component_only | full_conf,Data/first_10000/* | Y backup Data/*/*,Mols | OM | TS | first_10000/TS,.gjf | .log | .mol,E:\work\B_Cl_Nu\Data\first_10000\Mols\B_00437_Nu_00066_Cl_00447.mol | E:\work\B_Cl_Nu\Data\first_10000\OM\B_00437_Nu_00066_Cl_00447_0000.gjf | E:\work\B_Cl_Nu\Data\first_10000\OM\B_00437_Nu_00066_Cl_00447_0000.log | E:\work\B_Cl_Nu\Data\first_10000\TS\B_00437_Nu_00066_Cl_00447_0000.gjf | Y:\cold-data\数据备份\B_Cl_Nu\Data\first_10000\TS\B_00437_Nu_00066_Cl_00447_0000.gjf,True,True,True,True,False,True
BC(C)C,398,0,CP1CC=CC1,107,1,CN1CC(=O)C1Cl,526,6,0,0,-44.47713725,B_00398_Nu_00107_Cl_00526,B_00398_Nu_00107_Cl_00526_0000,False,5,4,4,1,0,1,4,False,component_only | full_conf,Data/first_10000/* | Y backup Data/*/*,Mols | OM | TS | first_10000/TS,.gjf | .log | .mol,E:\work\B_Cl_Nu\Data\first_10000\Mols\B_00398_Nu_00107_Cl_00526.mol | E:\work\B_Cl_Nu\Data\first_10000\OM\B_00398_Nu_00107_Cl_00526_0000.gjf | E:\work\B_Cl_Nu\Data\first_10000\OM\B_00398_Nu_00107_Cl_00526_0000.log | E:\work\B_Cl_Nu\Data\first_10000\TS\B_00398_Nu_00107_Cl_00526_0000.gjf | Y:\cold-data\数据备份\B_Cl_Nu\Data\first_10000\TS\B_00398_Nu_00107_Cl_00526_0000.gjf,True,True,True,True,False,True
N#CBC#N,423,2,N#Cc1cc(C(F)(F)F)c2ccccc2n1,366,15,CN1CC(=O)C1Cl,526,6,1,0,-11.67557875,B_00423_Nu_00366_Cl_00526,B_00423_Nu_00366_Cl_00526_0100,False,1,0,0,1,0,1,1,False,component_only,Data/first_10000/*,Mols,.mol,E:\work\B_Cl_Nu\Data\first_10000\Mols\B_00423_Nu_00366_Cl_00526.mol,True,False,False,True,False,True
CN1BN(C)CC1,436,2,CN1CCN(C)P1c1ccccc1,83,6,CC(F)(F)Cl,584,4,0,0,-15.2513875,B_00436_Nu_00083_Cl_00584,B_00436_Nu_00083_Cl_00584_0000,False,21,20,20,1,0,1,11,False,component_only | full_conf,Data/first_10000/* | Sum/* | Y backup Data/*/*,IRC | Mols | OM | OtherIRCs | TS | TS_ENG | first_10000/IRC | first_10000/TS | first_10000/TS_ENG | first_10000/ts_irc_fail_new | ts_irc_fail_new,.gjf | .log | .mol,E:\work\B_Cl_Nu\Data\first_10000\IRC\B_00436_Nu_00083_Cl_00584_0000forward.gjf | E:\work\B_Cl_Nu\Data\first_10000\IRC\B_00436_Nu_00083_Cl_00584_0000forward.log | E:\work\B_Cl_Nu\Data\first_10000\IRC\B_00436_Nu_00083_Cl_00584_0000reverse.gjf | E:\work\B_Cl_Nu\Data\first_10000\IRC\B_00436_Nu_00083_Cl_00584_0000reverse.log | E:\work\B_Cl_Nu\Data\first_10000\Mols\B_00436_Nu_00083_Cl_00584.mol | E:\work\B_Cl_Nu\Data\first_10000\OM\B_00436_Nu_00083_Cl_00584_0000.gjf | E:\work\B_Cl_Nu\Data\first_10000\OM\B_00436_Nu_00083_Cl_00584_0000.log | E:\work\B_Cl_Nu\Data\first_10000\TS\B_00436_Nu_00083_Cl_00584_0000.gjf | E:\work\B_Cl_Nu\Data\first_10000\TS_ENG\B_00436_Nu_00083_Cl_00584_0000.gjf | E:\work\B_Cl_Nu\Data\first_10000\TS_ENG\B_00436_Nu_00083_Cl_00584_0000.log | E:\work\B_Cl_Nu\Data\first_10000\ts_irc_fail_new\B_00436_Nu_00083_Cl_00584_0000.log | E:\work\B_Cl_Nu\Sum\OtherIRCs\B_00436_Nu_00083_Cl_00584_0000forward.log | E:\work\B_Cl_Nu\Sum\OtherIRCs\B_00436_Nu_00083_Cl_00584_0000reverse.log | Y:\cold-data\数据备份\B_Cl_Nu\Data\first_10000\IRC\B_00436_Nu_00083_Cl_00584_0000forward.gjf | Y:\cold-data\数据备份\B_Cl_Nu\Data\first_10000\IRC\B_00436_Nu_00083_Cl_00584_0000forward.log | Y:\cold-data\数据备份\B_Cl_Nu\Data\first_10000\IRC\B_00436_Nu_00083_Cl_00584_0000reverse.gjf | Y:\cold-data\数据备份\B_Cl_Nu\Data\first_10000\IRC\B_00436_Nu_00083_Cl_00584_0000reverse.log | Y:\cold-data\数据备份\B_Cl_Nu\Data\first_10000\TS\B_00436_Nu_00083_Cl_00584_0000.gjf | Y:\cold-data\数据备份\B_Cl_Nu\Data\first_10000\TS_ENG\B_00436_Nu_00083_Cl_00584_0000.gjf | Y:\cold-data\数据备份\B_Cl_Nu\Data\first_10000\TS_ENG\B_00436_Nu_00083_Cl_00584_0000.log | Y:\cold-data\数据备份\B_Cl_Nu\Data\first_10000\ts_irc_fail_new\B_00436_Nu_00083_Cl_00584_0000.log,True,True,True,True,False,True
CN1BN(C)CC1,436,2,CC(C)OP(OC(C)C)OC(C)C,134,4,CNC(c1ccccc1)C(Cl)(Cl)Cl,546,10,0,0,-29.47813025,B_00436_Nu_00134_Cl_00546,B_00436_Nu_00134_Cl_00546_0000,False,5,4,4,1,0,1,4,False,component_only | full_conf,Data/first_10000/* | Y backup Data/*/*,Mols | OM | TS | first_10000/TS,.gjf | .log | .mol,E:\work\B_Cl_Nu\Data\first_10000\Mols\B_00436_Nu_00134_Cl_00546.mol | E:\work\B_Cl_Nu\Data\first_10000\OM\B_00436_Nu_00134_Cl_00546_0000.gjf | E:\work\B_Cl_Nu\Data\first_10000\OM\B_00436_Nu_00134_Cl_00546_0000.log | E:\work\B_Cl_Nu\Data\first_10000\TS\B_00436_Nu_00134_Cl_00546_0000.gjf | Y:\cold-data\数据备份\B_Cl_Nu\Data\first_10000\TS\B_00436_Nu_00134_Cl_00546_0000.gjf,True,True,True,True,False,True
B1OCCO1,400,0,CP(C)C(C)(C)C,103,1,ClC(Cl)N1CCCC1,539,0,1,0,-41.199893,B_00400_Nu_00103_Cl_00539,B_00400_Nu_00103_Cl_00539_0100,False,1,0,0,1,0,1,1,False,component_only,Data/first_10000/*,Mols,.mol,E:\work\B_Cl_Nu\Data\first_10000\Mols\B_00400_Nu_00103_Cl_00539.mol,True,False,False,True,False,True
CN1BN(C)CC1,436,2,CC(C)OP(OC(C)C)OC(C)C,134,4,CC(C)(C)C(Cl)Cl,570,5,0,0,-21.16940275,B_00436_Nu_00134_Cl_00570,B_00436_Nu_00134_Cl_00570_0000,False,5,4,4,1,0,1,4,False,component_only | full_conf,Data/first_10000/* | Y backup Data/*/*,Mols | OM | TS | first_10000/TS,.gjf | .log | .mol,E:\work\B_Cl_Nu\Data\first_10000\Mols\B_00436_Nu_00134_Cl_00570.mol | E:\work\B_Cl_Nu\Data\first_10000\OM\B_00436_Nu_00134_Cl_00570_0000.gjf | E:\work\B_Cl_Nu\Data\first_10000\OM\B_00436_Nu_00134_Cl_00570_0000.log | E:\work\B_Cl_Nu\Data\first_10000\TS\B_00436_Nu_00134_Cl_00570_0000.gjf | Y:\cold-data\数据备份\B_Cl_Nu\Data\first_10000\TS\B_00436_Nu_00134_Cl_00570_0000.gjf,True,True,True,True,False,True
BN(C)C,395,0,Cc1[c-][n+](C)c(C)n1C,229,2,FC(Cl)(Cl)Cl,453,2,0,0,-29.94097425,B_00395_Nu_00229_Cl_00453,B_00395_Nu_00229_Cl_00453_0000,False,5,4,4,1,0,1,4,False,component_only | full_conf,Data/first_10000/* | Y backup Data/*/*,Mols | OM | TS | first_10000/TS,.gjf | .log | .mol,E:\work\B_Cl_Nu\Data\first_10000\Mols\B_00395_Nu_00229_Cl_00453.mol | E:\work\B_Cl_Nu\Data\first_10000\OM\B_00395_Nu_00229_Cl_00453_0000.gjf | E:\work\B_Cl_Nu\Data\first_10000\OM\B_00395_Nu_00229_Cl_00453_0000.log | E:\work\B_Cl_Nu\Data\first_10000\TS\B_00395_Nu_00229_Cl_00453_0000.gjf | Y:\cold-data\数据备份\B_Cl_Nu\Data\first_10000\TS\B_00395_Nu_00229_Cl_00453_0000.gjf,True,True,True,True,False,True
BN(C)C,395,0,Cc1[c-][n+](C)c(C)n1C,229,2,CC1(Cl)C(=O)C=CC1=O,574,2,0,0,-37.41148725,B_00395_Nu_00229_Cl_00574,B_00395_Nu_00229_Cl_00574_0000,False,7,6,6,1,0,1,6,False,component_only | full_conf,Data/first_10000/* | Y backup Data/*/*,Mols | OM | TS | first_10000/TS | first_10000/ts_dead | ts_dead,.gjf | .log | .mol,E:\work\B_Cl_Nu\Data\first_10000\Mols\B_00395_Nu_00229_Cl_00574.mol | E:\work\B_Cl_Nu\Data\first_10000\OM\B_00395_Nu_00229_Cl_00574_0000.gjf | E:\work\B_Cl_Nu\Data\first_10000\OM\B_00395_Nu_00229_Cl_00574_0000.log | E:\work\B_Cl_Nu\Data\first_10000\TS\B_00395_Nu_00229_Cl_00574_0000.gjf | E:\work\B_Cl_Nu\Data\first_10000\ts_dead\B_00395_Nu_00229_Cl_00574_0000.log | Y:\cold-data\数据备份\B_Cl_Nu\Data\first_10000\TS\B_00395_Nu_00229_Cl_00574_0000.gjf | Y:\cold-data\数据备份\B_Cl_Nu\Data\first_10000\ts_dead\B_00395_Nu_00229_Cl_00574_0000.log,True,True,True,True,False,True
FBF,409,1,Cc1nc[nH]c1C,346,2,ClC1(Cl)OCCO1,592,0,0,0,-38.1621655,B_00409_Nu_00346_Cl_00592,B_00409_Nu_00346_Cl_00592_0000,False,5,4,4,1,0,1,4,False,component_only | full_conf,Data/first_10000/* | Y backup Data/*/*,Mols | OM | TS | first_10000/TS,.gjf | .log | .mol,E:\work\B_Cl_Nu\Data\first_10000\Mols\B_00409_Nu_00346_Cl_00592.mol | E:\work\B_Cl_Nu\Data\first_10000\OM\B_00409_Nu_00346_Cl_00592_0000.gjf | E:\work\B_Cl_Nu\Data\first_10000\OM\B_00409_Nu_00346_Cl_00592_0000.log | E:\work\B_Cl_Nu\Data\first_10000\TS\B_00409_Nu_00346_Cl_00592_0000.gjf | Y:\cold-data\数据备份\B_Cl_Nu\Data\first_10000\TS\B_00409_Nu_00346_Cl_00592_0000.gjf,True,True,True,True,False,True
B1OCCO1,400,0,C=CP(c1ccccc1)c1ccccc1,91,2,O=C(C(F)(F)F)C(Cl)(Cl)Cl,549,7,0,1,-56.0526925,B_00400_Nu_00091_Cl_00549,B_00400_Nu_00091_Cl_00549_0001,False,1,0,0,1,0,1,1,False,component_only,Data/first_10000/*,Mols,.mol,E:\work\B_Cl_Nu\Data\first_10000\Mols\B_00400_Nu_00091_Cl_00549.mol,True,False,False,True,False,True
BN(C)C,395,0,Cc1[c-][n+](C)c(C)n1C,229,2,C=CC(=O)C(Cl)(Cl)Cl,544,5,0,0,-41.848226,B_00395_Nu_00229_Cl_00544,B_00395_Nu_00229_Cl_00544_0000,False,5,4,4,1,0,1,4,False,component_only | full_conf,Data/first_10000/* | Y backup Data/*/*,Mols | OM | TS | first_10000/TS,.gjf | .log | .mol,E:\work\B_Cl_Nu\Data\first_10000\Mols\B_00395_Nu_00229_Cl_00544.mol | E:\work\B_Cl_Nu\Data\first_10000\OM\B_00395_Nu_00229_Cl_00544_0000.gjf | E:\work\B_Cl_Nu\Data\first_10000\OM\B_00395_Nu_00229_Cl_00544_0000.log | E:\work\B_Cl_Nu\Data\first_10000\TS\B_00395_Nu_00229_Cl_00544_0000.gjf | Y:\cold-data\数据备份\B_Cl_Nu\Data\first_10000\TS\B_00395_Nu_00229_Cl_00544_0000.gjf,True,True,True,True,False,True
BCC,435,0,c1ccc(P(c2ccccc2)C2CCCCC2)cc1,76,4,CC(=O)C(F)Cl,528,5,2,0,-33.24614225,B_00435_Nu_00076_Cl_00528,B_00435_Nu_00076_Cl_00528_0200,False,1,0,0,1,0,1,1,False,component_only,Data/first_10000/*,Mols,.mol,E:\work\B_Cl_Nu\Data\first_10000\Mols\B_00435_Nu_00076_Cl_00528.mol,True,False,False,True,False,True
BOC,393,0,CCN1CCCCC1,35,2,CC(C)(N)Cl,577,4,0,0,-45.143103,B_00393_Nu_00035_Cl_00577,B_00393_Nu_00035_Cl_00577_0000,False,5,4,4,1,0,1,4,False,component_only | full_conf,Data/first_10000/* | Y backup Data/*/*,Mols | OM | TS | first_10000/TS,.gjf | .log | .mol,E:\work\B_Cl_Nu\Data\first_10000\Mols\B_00393_Nu_00035_Cl_00577.mol | E:\work\B_Cl_Nu\Data\first_10000\OM\B_00393_Nu_00035_Cl_00577_0000.gjf | E:\work\B_Cl_Nu\Data\first_10000\OM\B_00393_Nu_00035_Cl_00577_0000.log | E:\work\B_Cl_Nu\Data\first_10000\TS\B_00393_Nu_00035_Cl_00577_0000.gjf | Y:\cold-data\数据备份\B_Cl_Nu\Data\first_10000\TS\B_00393_Nu_00035_Cl_00577_0000.gjf,True,True,True,True,False,True
B1OCCO1,400,0,Cc1[c-][n+](C)c(C)n1C,229,2,ClC(Cl)(Cl)c1ccco1,543,0,0,0,-44.78147475,B_00400_Nu_00229_Cl_00543,B_00400_Nu_00229_Cl_00543_0000,False,5,4,4,1,0,1,4,False,component_only | full_conf,Data/first_10000/* | Y backup Data/*/*,Mols | OM | TS | first_10000/TS,.gjf | .log | .mol,E:\work\B_Cl_Nu\Data\first_10000\Mols\B_00400_Nu_00229_Cl_00543.mol | E:\work\B_Cl_Nu\Data\first_10000\OM\B_00400_Nu_00229_Cl_00543_0000.gjf | E:\work\B_Cl_Nu\Data\first_10000\OM\B_00400_Nu_00229_Cl_00543_0000.log | E:\work\B_Cl_Nu\Data\first_10000\TS\B_00400_Nu_00229_Cl_00543_0000.gjf | Y:\cold-data\数据备份\B_Cl_Nu\Data\first_10000\TS\B_00400_Nu_00229_Cl_00543_0000.gjf,True,True,True,True,False,True
CBF,442,1,Cn1cccc1,46,1,CC1(Cl)CCCO1,573,2,0,0,-11.1864425,B_00442_Nu_00046_Cl_00573,B_00442_Nu_00046_Cl_00573_0000,False,5,4,4,1,0,1,4,False,component_only | full_conf,Data/first_10000/* | Y backup Data/*/*,Mols | OM | TS | first_10000/TS,.gjf | .log | .mol,E:\work\B_Cl_Nu\Data\first_10000\Mols\B_00442_Nu_00046_Cl_00573.mol | E:\work\B_Cl_Nu\Data\first_10000\OM\B_00442_Nu_00046_Cl_00573_0000.gjf | E:\work\B_Cl_Nu\Data\first_10000\OM\B_00442_Nu_00046_Cl_00573_0000.log | E:\work\B_Cl_Nu\Data\first_10000\TS\B_00442_Nu_00046_Cl_00573_0000.gjf | Y:\cold-data\数据备份\B_Cl_Nu\Data\first_10000\TS\B_00442_Nu_00046_Cl_00573_0000.gjf,True,True,True,True,False,True
B1OCCO1,400,0,C=Cc1ccc(P(c2ccc(C=C)cc2)c2ccc(C=C)cc2)cc1,120,6,O=C1C=CC(=O)C1Cl,523,7,0,0,-41.238045,B_00400_Nu_00120_Cl_00523,B_00400_Nu_00120_Cl_00523_0000,False,5,4,4,1,0,1,4,False,component_only | full_conf,Data/first_10000/* | Y backup Data/*/*,Mols | OM | TS | first_10000/TS,.gjf | .log | .mol,E:\work\B_Cl_Nu\Data\first_10000\Mols\B_00400_Nu_00120_Cl_00523.mol | E:\work\B_Cl_Nu\Data\first_10000\OM\B_00400_Nu_00120_Cl_00523_0000.gjf | E:\work\B_Cl_Nu\Data\first_10000\OM\B_00400_Nu_00120_Cl_00523_0000.log | E:\work\B_Cl_Nu\Data\first_10000\TS\B_00400_Nu_00120_Cl_00523_0000.gjf | Y:\cold-data\数据备份\B_Cl_Nu\Data\first_10000\TS\B_00400_Nu_00120_Cl_00523_0000.gjf,True,True,True,True,False,True
