identifier,component_id,match_scope,is_ts_candidate_folder,is_ts_candidate_hit,component_missing_candidates,component_match_is_ambiguous,file_identifier,search_space,folder,relative_folder,file_name,suffix,path
B_00390_Nu_00328_Cl_00610_0000,B_00390_Nu_00328_Cl_00610,full_conf,True,True,1,False,B_00390_Nu_00328_Cl_00610_0000,Sum/*,IRC_full,IRC_full,B_00390_Nu_00328_Cl_00610_0000reverse.gjf,.gjf,E:\work\B_Cl_Nu\Sum\IRC_full\B_00390_Nu_00328_Cl_00610_0000reverse.gjf
B_00391_Nu_00026_Cl_00519_0000,B_00391_Nu_00026_Cl_00519,full_conf,True,True,1,False,B_00391_Nu_00026_Cl_00519_0000,Sum/*,IRC_full,IRC_full,B_00391_Nu_00026_Cl_00519_0000forward.gjf,.gjf,E:\work\B_Cl_Nu\Sum\IRC_full\B_00391_Nu_00026_Cl_00519_0000forward.gjf
B_00391_Nu_00026_Cl_00519_0000,B_00391_Nu_00026_Cl_00519,full_conf,True,True,1,False,B_00391_Nu_00026_Cl_00519_0000,Sum/*,IRC_full,IRC_full,B_00391_Nu_00026_Cl_00519_0000reverse.gjf,.gjf,E:\work\B_Cl_Nu\Sum\IRC_full\B_00391_Nu_00026_Cl_00519_0000reverse.gjf
B_00391_Nu_00050_Cl_00503_0000,B_00391_Nu_00050_Cl_00503,full_conf,True,True,1,False,B_00391_Nu_00050_Cl_00503_0000,Sum/*,IRC_full,IRC_full,B_00391_Nu_00050_Cl_00503_0000forward.gjf,.gjf,E:\work\B_Cl_Nu\Sum\IRC_full\B_00391_Nu_00050_Cl_00503_0000forward.gjf
B_00391_Nu_00050_Cl_00503_0000,B_00391_Nu_00050_Cl_00503,full_conf,True,True,1,False,B_00391_Nu_00050_Cl_00503_0000,Sum/*,IRC_full,IRC_full,B_00391_Nu_00050_Cl_00503_0000reverse.gjf,.gjf,E:\work\B_Cl_Nu\Sum\IRC_full\B_00391_Nu_00050_Cl_00503_0000reverse.gjf
B_00391_Nu_00054_Cl_00524_0000,B_00391_Nu_00054_Cl_00524,full_conf,True,True,1,False,B_00391_Nu_00054_Cl_00524_0000,Sum/*,IRC_full,IRC_full,B_00391_Nu_00054_Cl_00524_0000forward.log,.log,E:\work\B_Cl_Nu\Sum\IRC_full\B_00391_Nu_00054_Cl_00524_0000forward.log
B_00391_Nu_00054_Cl_00524_0000,B_00391_Nu_00054_Cl_00524,full_conf,True,True,1,False,B_00391_Nu_00054_Cl_00524_0000,Sum/*,IRC_full,IRC_full,B_00391_Nu_00054_Cl_00524_0000reverse.log,.log,E:\work\B_Cl_Nu\Sum\IRC_full\B_00391_Nu_00054_Cl_00524_0000reverse.log
B_00391_Nu_00058_Cl_00519_0000,B_00391_Nu_00058_Cl_00519,full_conf,True,True,1,False,B_00391_Nu_00058_Cl_00519_0000,Sum/*,IRC_full,IRC_full,B_00391_Nu_00058_Cl_00519_0000forward.gjf,.gjf,E:\work\B_Cl_Nu\Sum\IRC_full\B_00391_Nu_00058_Cl_00519_0000forward.gjf
B_00391_Nu_00058_Cl_00519_0000,B_00391_Nu_00058_Cl_00519,full_conf,True,True,1,False,B_00391_Nu_00058_Cl_00519_0000,Sum/*,IRC_full,IRC_full,B_00391_Nu_00058_Cl_00519_0000reverse.gjf,.gjf,E:\work\B_Cl_Nu\Sum\IRC_full\B_00391_Nu_00058_Cl_00519_0000reverse.gjf
B_00391_Nu_00080_Cl_00500_0000,B_00391_Nu_00080_Cl_00500,full_conf,True,True,1,False,B_00391_Nu_00080_Cl_00500_0000,Sum/*,IRC_full,IRC_full,B_00391_Nu_00080_Cl_00500_0000forward.gjf,.gjf,E:\work\B_Cl_Nu\Sum\IRC_full\B_00391_Nu_00080_Cl_00500_0000forward.gjf
