Smiles,Index,Atomid,E_energy_r,G_energy_r,conf_idxs_r,E_energy_p,G_energy_p,conf_idxs_p,deltaE_react,deltaG_react,BDE_G,Experiment
C=CC(=O)C(Cl)(Cl)Cl,544,5,-1610.023397,-1609.997063,0,-1149.780277,-1149.754728,0,460.2431205,460.2423355,49.22706125,0
ClC(Cl)(Cl)C(Cl)(Cl)Cl,545,0,-2837.418545,-2837.436229,0,-2377.16883,-2377.189127,0,460.2497151,460.2471021,52.21810275,0
CNC(c1ccccc1)C(Cl)(Cl)Cl,546,10,-1784.320597,-1784.186376,0,-1324.061633,-1323.930111,1,460.2589649,460.2562659,57.96838725,0
CC(=O)OCC(Cl)(Cl)Cl,547,6,-1686.509602,-1686.45717,1,-1226.250143,-1226.200855,1,460.2594598,460.2563158,57.9996995,0
COC(F)(F)C(Cl)(Cl)Cl,548,6,-1771.644206,-1771.616303,0,-1311.38891,-1311.363518,0,460.2552961,460.2527851,55.78418525,0
O=C(C(F)(F)F)C(Cl)(Cl)Cl,549,7,-1869.664324,-1869.668688,1,-1409.430745,-1409.435949,0,460.2335786,460.2327386,43.2050065,0
O=CCCCl,550,4,-652.7535305,-652.7068435,0,-192.4683697,-192.4262737,0,460.2851607,460.2805697,73.21902175,0
CC(=O)CCl,551,4,-652.7597794,-652.7143394,0,-192.4908731,-192.4479961,0,460.2689064,460.2663434,64.2920185,0
ClCc1ccccc1,552,0,-731.154416,-731.066618,0,-270.8893356,-270.8039696,0,460.2650804,460.2626484,61.973406,0
NCCl,553,2,-555.4828261,-555.4524811,0,-95.20177106,-95.17446806,0,460.2810551,460.2780131,71.61475525,0
ClCC1OCCO1,554,0,-767.2730498,-767.1920758,0,-306.9869553,-306.9110563,0,460.2860944,460.2810194,73.5012085,0
CC(C)Cl,555,3,-578.7565332,-578.6891932,0,-118.4724144,-118.4109384,0,460.2841189,460.2782549,71.76648475,0
