key,B_id,LB_id,Cl_id,barrier_kcal,delta_g_rxn_kcal,B_map,Cl_map,C_map,map_order_ok,center_candidate_count,endpoint_status,selected_endpoint,reactant_B_Cl_A,reactant_C_Cl_A,forward_B_Cl_A,forward_C_Cl_A,reverse_B_Cl_A,reverse_C_Cl_A,min_interfragment_distance_all_A,min_pair_all,min_interfragment_distance_heavy_A,min_pair_heavy,min_vdw_ratio,min_vdw_pair,precomplex_by_heavy_distance,precomplex_by_vdw_ratio
B_00417_LB_00329_Cl_00518,417,329,518,32.80911981235432,-6.41063194400878,1,13,33,True,1,threshold,reverse,3.5337879035547677,1.7857295595391816,1.8864877859238844,3.296643649579675,3.5337879035547677,1.7857295595391816,2.3601529279375097,H27--O29,3.244900697776436,C20--N31,0.8677032823299669,H27--O29,True,True
B_00417_LB_00329_Cl_00522,417,329,522,29.34608589388733,-14.994013800632045,1,13,33,True,1,threshold,reverse,3.424170550132835,1.8402936985432512,1.898759202755315,3.1990677492397688,3.424170550132835,1.8402936985432512,2.395719540948606,H27--H37,3.1149459035806704,C7--O32,0.9060864049217751,H27--O30,True,True
B_00417_LB_00329_Cl_00523,417,329,523,25.252342679778685,-16.90440220010292,1,13,35,True,1,threshold,reverse,3.5324685176659396,1.8065855145854566,1.9114606133410126,3.0981118707700017,3.5324685176659396,1.8065855145854566,2.7874268699024194,N21--H37,3.0989321287445133,C19--O34,0.9624012822187931,C19--O34,True,True
B_00417_LB_00329_Cl_00524,417,329,524,25.68921444550298,-14.42247860347678,1,13,32,True,1,threshold,forward,3.272874102490042,1.8184748909921742,3.272874102490042,1.8184748909921742,1.901907464967999,3.304630336004921,2.2894772119778786,H27--O35,3.270999570456407,C2--O35,0.8417195632271613,H27--O35,True,True
B_00417_LB_00329_Cl_00526,417,329,526,12.254058502830084,-23.340134504262345,1,13,34,True,1,threshold,reverse,3.263862271398412,2.0112866324395435,1.9114127109669432,3.433708744639242,3.263862271398412,2.0112866324395435,2.390550711166153,F4--H38,3.263862271398412,B1--Cl13,0.8893357687734093,B1--Cl13,True,True
B_00417_LB_00329_Cl_00531,417,329,531,24.39127482991261,-17.669272920148035,1,13,38,True,1,threshold,reverse,3.3610854695413503,1.8066040565973496,1.9050434876296134,3.2863182143178102,3.3610854695413503,1.8066040565973496,2.9903856400850715,H28--C35,3.1339715235242642,F12--Cl13,0.9158271034172617,B1--Cl13,True,True
B_00417_LB_00329_Cl_00532,417,329,532,25.515143449142716,-20.458801428824835,1,13,32,True,1,threshold,reverse,3.347920020553956,1.8160944135928065,1.907099485059445,3.1035277631492195,3.347920020553956,1.8160944135928065,2.75083827117826,N21--H37,3.1394680506409043,C19--O31,0.9122397876168817,B1--Cl13,True,True
B_00417_LB_00329_Cl_00533,417,329,533,24.20113960289328,-19.629297281871565,1,13,29,True,1,threshold,reverse,3.274139046080664,1.824244962446656,1.8882077832677737,3.3697578524404395,3.274139046080664,1.824244962446656,2.859031044659362,F8--H40,3.0035123369425336,F6--C33,0.8921359798584915,B1--Cl13,True,True
B_00417_LB_00329_Cl_00536,417,329,536,23.593083382073026,-23.83549010859618,1,13,32,True,1,threshold,reverse,3.373033608073747,1.8248491714465063,1.9065161750231756,3.2329994688637056,3.373033608073747,1.8248491714465063,2.7948966826702195,N21--H37,3.1928616282081506,F12--Cl13,0.9190827269955714,B1--Cl13,True,True
B_00417_LB_00329_Cl_00537,417,329,537,25.646292830025615,-19.119822724823692,1,13,30,True,1,threshold,forward,3.5600272833708733,1.8225591475762866,3.5600272833708733,1.8225591475762866,1.9004876849148484,3.4863932455503353,2.517007811518669,H27--H42,3.060174372276685,C20--F29,0.9558236258544369,C7--C35,True,True
B_00417_LB_00329_Cl_00538,417,329,538,31.461418732968433,-11.351010301233957,1,13,35,True,1,threshold,reverse,3.426944497345266,1.7987060745474786,1.8893633942815238,3.2535603625090466,3.426944497345266,1.7987060745474786,2.2745246531673384,H27--H39,3.1950289199126196,C20--O31,0.9337723426008899,B1--Cl13,True,True
B_00417_LB_00329_Cl_00540,417,329,540,29.140890450977363,-10.315557700330064,1,13,29,True,1,threshold,reverse,3.4749609785188955,1.8044201398457622,1.8933676863646953,3.4138495734869454,3.4749609785188955,1.8044201398457622,2.416827318066601,H27--O32,3.1346453217249315,C18--O32,0.8885394551715446,H27--O32,True,True
B_00417_LB_00329_Cl_00541,417,329,541,21.89818157285785,-23.871509125519008,1,13,29,True,1,threshold,forward,3.553050728009663,1.8409094829420594,3.553050728009663,1.8409094829420594,1.9039117902857265,3.5372957516627017,2.8200700881761787,F10--H39,3.148253266890864,F10--C34,0.9459002787422436,C9--C34,True,True
B_00417_LB_00329_Cl_00543,417,329,543,20.20704481791853,-29.814835116987965,1,13,29,True,1,threshold,reverse,3.302527551493401,1.8210998742666478,1.8928032782204283,3.450484569158946,3.302527551493401,1.8210998742666478,2.8189900642636183,F6--H37,2.9530772651530808,F6--C33,0.899871267436894,B1--Cl13,True,True
B_00417_LB_00329_Cl_00544,417,329,544,22.647427318963693,-26.84985509212585,1,13,33,True,1,threshold,reverse,3.624402954607972,1.8112455777806609,1.9136681243125726,3.166447696713306,3.624402954607972,1.8112455777806609,2.8478501496298927,F10--C29,2.8478501496298927,F10--C29,0.8983754415236255,F10--C29,True,True
B_00417_LB_00329_Cl_00545,417,329,545,21.140150700916866,-23.8585196891876,1,13,29,True,1,threshold,reverse,3.3535193935601444,1.7992550411317454,1.8976927271615915,3.26819287991529,3.3535193935601444,1.7992550411317454,3.069885724790745,F12--Cl13,3.069885724790745,F12--Cl13,0.9137655023324645,B1--Cl13,True,True
B_00417_LB_00329_Cl_00549,417,329,549,19.1973828369708,-32.87143145604681,1,13,35,True,1,threshold,reverse,3.3058173896948695,1.8191446091053345,1.912697696592172,3.2887754991634806,3.3058173896948695,1.8191446091053345,3.040715954089431,C19--F32,3.040715954089431,C19--F32,0.9007676811157683,B1--Cl13,True,True
B_00417_LB_00329_Cl_00563,417,329,563,24.82456979449575,-17.244888583584956,1,13,30,True,1,threshold,forward,3.328015420795252,1.8474273872596454,3.328015420795252,1.8474273872596454,1.898461765065075,3.342030225746171,2.6459845896100753,H27--N36,3.2120758112443424,N21--C35,0.9068161909523847,B1--Cl13,True,True
B_00417_LB_00329_Cl_00567,417,329,567,24.417002699061676,-15.912373221917926,1,13,34,True,1,threshold,reverse,3.3967813530651334,1.7879817543890093,1.9105185812760368,3.2237799989988463,3.3967813530651334,1.7879817543890093,2.360323012563747,H27--O32,3.078306003596296,C20--O30,0.8677658134425542,H27--O32,True,True
B_00417_LB_00329_Cl_00569,417,329,569,28.054044863010482,-14.242069765897222,1,13,33,True,1,threshold,reverse,3.5261732971436617,1.7954703700952575,1.9038148612155017,3.2744975487671386,3.5261732971436617,1.7954703700952575,2.6257257012601296,H27--F29,3.099075616557944,C19--F32,0.9608101627094446,B1--Cl13,True,True
B_00417_LB_00329_Cl_00572,417,329,572,29.67866566411774,-9.720992922583378,1,13,33,True,1,threshold,forward,3.534428751828646,1.806601681641252,3.534428751828646,1.806601681641252,1.8984720287562837,3.441191926993175,2.242857739189225,H27--O31,3.1883640963972417,C2--O31,0.8245800511725092,H27--O31,True,True
B_00417_LB_00329_Cl_00574,417,329,574,24.342580131549948,-22.412738953128187,1,13,30,True,1,threshold,reverse,3.3983534647646647,1.8337916561869836,1.9029989221074193,3.248815226690493,3.3983534647646647,1.8337916561869836,2.666628484417168,N21--H40,3.1531644303909996,F12--Cl13,0.9259818705080829,B1--Cl13,True,True
B_00417_LB_00329_Cl_00583,417,329,583,25.326576994441076,-7.3211475029928135,1,13,33,True,1,threshold,reverse,3.2885475088743967,1.872219083694267,1.9033563673124905,3.622856767204991,3.2885475088743967,1.872219083694267,2.5016133020461018,H27--N30,3.2885475088743967,B1--Cl13,0.8960619915189092,B1--Cl13,True,True
B_00417_LB_00329_Cl_00590,417,329,590,20.525693888284234,-29.426846302332997,1,13,31,True,1,threshold,reverse,3.3144469903489178,1.8561237762102505,1.921229131292257,3.2995495340597634,3.3144469903489178,1.8561237762102505,3.032212166706182,H28--H41,3.2030021955493564,F12--Cl13,0.9031190709397597,B1--Cl13,True,True
B_00417_LB_00329_Cl_00591,417,329,591,26.54174817297633,-20.943803135005837,1,13,31,True,1,threshold,forward,3.5720242030662392,1.7918890292844591,3.5720242030662392,1.7918890292844591,1.8933384224963588,3.4500583132100826,3.021806631235857,F12--Cl13,3.021806631235857,F12--Cl13,0.9384492643589619,F12--Cl13,True,True
