source,BN1_key,Cl1_key,BN2_key,Cl2_key,y11_BN1_Cl1,y12_BN1_Cl2,y21_BN2_Cl1,y22_BN2_Cl2,delta_BN1_inactive_minus_active,delta_BN2_inactive_minus_active,min_delta,diagonal_mean,cross_mean,delta_rule_pass,threshold_rule_pass,delta_margin,threshold_margin,BN1_B_Index,BN1_N_Index,BN1_B_smiles,BN1_N_smiles,BN1_B_type,BN1_Nu_type,BN2_B_Index,BN2_N_Index,BN2_B_smiles,BN2_N_smiles,BN2_B_type,BN2_Nu_type,Cl1_Cl_Index,Cl1_Cl_Atomid,Cl1_Cl_smiles,Cl1_Cl_type,Cl2_Cl_Index,Cl2_Cl_Atomid,Cl2_Cl_smiles,Cl2_Cl_type
observed_DFT,B_00401_Nu_00143,Cl_00582,B_00417_Nu_00180,Cl_00590,11.7700677,18.14772043,22.27121745,8.05568185,6.377652729999999,14.215535600000003,6.377652729999999,9.912874774999999,20.20946894,True,False,1.3776527299999994,-6.85227957,401,143,B1C=CC=C1,N#CP(C#N)C#N,R2BH,Phosphine,417,180,Bc1c(F)c(F)c(F)c(F)c1F,[C]1N2C=CC=CC2=C2C=CC=CN12,RBH2,NHC,582,5,COC(C)(C)Cl,CCl,590,4,N#CC(F)(Cl)c1ccccc1,CCl
observed_DFT,B_00417_Nu_00325,Cl_00453,B_00423_Nu_00143,Cl_00562,19.4485342,30.89839493,21.87978922,15.50322208,11.449860729999997,6.376567139999999,6.376567139999999,17.47587814,26.389092075,True,False,1.3765671399999988,-3.1202107800000007,417,325,Bc1c(F)c(F)c(F)c(F)c1F,N#Cc1cnc(N)nc1,RBH2,Amine/Aryl N,423,143,N#CBC#N,N#CP(C#N)C#N,R2BH,Phosphine,453,2,FC(Cl)(Cl)Cl,CCl3,562,2,CC(Cl)C1(C)COC1,CCl
observed_DFT,B_00417_Nu_00254,Cl_00566,B_00408_Nu_00298,Cl_00602,18.68008515,27.84673693,25.88252388,19.5061889,9.166651779999999,6.376334979999999,6.376334979999999,19.093137025,26.864630405,True,True,1.3763349799999993,0.4938110999999985,417,254,Bc1c(F)c(F)c(F)c(F)c1F,N#Cc1cccc(C#N)n1,RBH2,Amine/Aryl N,408,298,CBc1ccccc1,Cc1ccc(C)nn1,R2BH,Amine/Aryl N,566,2,CC(Cl)c1ccccc1,CCl,602,0,ClC(Cl)(Cl)Cl,CCl4
observed_DFT,B_00429_Nu_00062,Cl_00519,B_00427_Nu_00294,Cl_00614,8.953377075,18.83792023,27.78111925,21.40478428,9.884543155000001,6.3763349699999985,6.3763349699999985,15.1790806775,23.30951974,True,False,1.3763349699999985,-6.162079769999998,429,62,Bc1nc(F)c(F)c(F)n1,N#CN1CCOCC1,RBH2,Amine/Aryl N,427,294,BC(=C)C,CNc1nccnc1NC,RBH2,Amine/Aryl N,519,0,ClC1CCOCC1,CCl,614,7,O=C1CCCCC1Cl,CCl
observed_DFT,B_00431_Nu_00332,Cl_00552,B_00439_Nu_00325,Cl_00610,16.63696397,23.01093328,23.38245093,14.81885803,6.37396931,8.563592900000002,6.37396931,15.727910999999999,23.196692105,True,False,1.3739693099999997,-1.9890667200000003,431,332,BC(F)(F)c1ccccc1,Fc1nc(F)nc(F)n1,RBH2,Amine/Aryl N,439,325,BC(F)(F)F,N#Cc1cnc(N)nc1,RBH2,Amine/Aryl N,552,0,ClCc1ccccc1,CCl,610,0,ClCc1ccco1,CCl
observed_DFT,B_00431_Nu_00332,Cl_00552,B_00388_Nu_00143,Cl_00610,16.63696397,23.01093328,18.3171768,10.08114517,6.37396931,8.23603163,6.37396931,13.35905457,20.66405504,True,False,1.3739693099999997,-6.682823200000001,431,332,BC(F)(F)c1ccccc1,Fc1nc(F)nc(F)n1,RBH2,Amine/Aryl N,388,143,B,N#CP(C#N)C#N,BH3,Phosphine,552,0,ClCc1ccccc1,CCl,610,0,ClCc1ccco1,CCl
observed_DFT,B_00417_Nu_00226,Cl_00546,B_00430_Nu_00143,Cl_00610,7.464407425,15.44845387,17.33422942,10.96431378,7.984046445,6.36991564,6.36991564,9.2143606025,16.391341645,True,False,1.3699156400000003,-9.55154613,417,226,Bc1c(F)c(F)c(F)c(F)c1F,Cc1[c-][n+](C)c(-c2ccccc2)s1,RBH2,NHC,430,143,BC(C)(F)F,N#CP(C#N)C#N,RBH2,Phosphine,546,10,CNC(c1ccccc1)C(Cl)(Cl)Cl,CCl3,610,0,ClCc1ccco1,CCl
observed_DFT,B_00400_Nu_00092,Cl_00485,B_00421_Nu_00143,Cl_00526,0.300679175,6.6701744,49.03331435,9.121810625,6.369495225,39.911503724999996,6.369495225,4.7112449000000005,27.851744375,True,False,1.3694952249999996,-18.3298256,400,92,B1OCCO1,c1ccc(-p2c3ccccc3c3ccccc32)cc1,R2BH,Phosphine,421,143,BC(=O)OC,N#CP(C#N)C#N,RBH2,Phosphine,485,4,O=C1C=C(Cl)C(=O)C(Cl)=C1,CCl,526,6,CN1CC(=O)C1Cl,CCl
observed_DFT,B_00417_Nu_00256,Cl_00455,B_00417_Nu_00254,Cl_00610,16.7904191,28.26409345,24.8236992,18.4551515,11.47367435,6.368547700000001,6.368547700000001,17.6227853,26.543896325,True,False,1.3685477000000006,-0.17630079999999992,417,256,Bc1c(F)c(F)c(F)c(F)c1F,C=Cc1cccc(C=C)n1,RBH2,Amine/Aryl N,417,254,Bc1c(F)c(F)c(F)c(F)c1F,N#Cc1cccc(C#N)n1,RBH2,Amine/Aryl N,455,3,N#CC(Cl)(Cl)Cl,CCl3,610,0,ClCc1ccco1,CCl
observed_DFT,B_00408_Nu_00288,Cl_00455,B_00417_Nu_00254,Cl_00610,17.8373401,27.76595258,24.8236992,18.4551515,9.928612480000002,6.368547700000001,6.368547700000001,18.1462458,26.29482589,True,False,1.3685477000000006,-0.17630079999999992,408,288,CBc1ccccc1,c1ccnnc1,R2BH,Amine/Aryl N,417,254,Bc1c(F)c(F)c(F)c(F)c1F,N#Cc1cccc(C#N)n1,RBH2,Amine/Aryl N,455,3,N#CC(Cl)(Cl)Cl,CCl3,610,0,ClCc1ccco1,CCl
