iter	Passed	Remaining
1507	6592	37124
1508	6594	37108
1509	6596	37090
1510	6598	37071
1511	6600	37052
1512	6602	37033
1513	6603	37013
1514	6605	36995
1515	6607	36978
1516	6609	36960
1517	6611	36941
1518	6612	36921
1519	6614	36903
1520	6616	36883
1521	6617	36863
1522	6619	36842
1523	6621	36824
1524	6623	36807
1525	6625	36790
1526	6626	36771
1527	6628	36752
1528	6630	36733
1529	6631	36713
1530	6633	36694
1531	6635	36679
1532	6637	36661
1533	6639	36642
1534	6641	36624
1535	6643	36606
1536	6644	36586
1537	6646	36567
1538	6648	36550
1539	6650	36532
1540	6651	36513
1541	6653	36495
1542	6655	36480
1543	6657	36460
1544	6659	36442
1545	6660	36423
1546	6662	36405
1547	6664	36385
1548	6665	36367
1549	6667	36349
1550	6669	36331
1551	6671	36312
1552	6672	36293
1553	6674	36274
1554	6676	36256
1555	6677	36237
1556	6679	36220
1557	6682	36206
1558	6683	36188
1559	6685	36170
1560	6687	36152
1561	6688	36134
1562	6690	36116
1563	6692	36097
1564	6694	36080
1565	6696	36063
1566	6697	36045
1567	6699	36028
1568	6701	36012
1569	6703	35995
1570	6705	35977
1571	6707	35960
1572	6709	35945
1573	6711	35928
1574	6713	35911
1575	6715	35895
1576	6717	35880
1577	6719	35864
1578	6721	35848
1579	6723	35830
1580	6725	35812
1581	6727	35795
1582	6729	35780
1583	6730	35762
1584	6732	35743
1585	6734	35725
1586	6736	35711
1587	6738	35693
1588	6740	35677
1589	6742	35663
1590	6744	35645
1591	6745	35628
1592	6747	35610
1593	6749	35594
1594	6751	35575
1595	6752	35557
1596	6754	35539
1597	6756	35522
1598	6758	35506
1599	6760	35490
1600	6762	35476
1601	6764	35459
1602	6765	35442
1603	6767	35424
1604	6769	35410
1605	6771	35393
1606	6774	35379
1607	6776	35365
1608	6778	35348
1609	6780	35331
1610	6781	35315
1611	6784	35301
1612	6786	35285
1613	6787	35268
1614	6790	35256
1615	6792	35241
1616	6794	35223
1617	6796	35209
1618	6798	35191
1619	6799	35173
1620	6801	35156
1621	6803	35142
1622	6805	35125
1623	6806	35107
1624	6808	35091
1625	6810	35075
1626	6812	35058
1627	6814	35041
1628	6816	35028
1629	6818	35012
1630	6820	34996
1631	6822	34982
1632	6824	34968
1633	6827	34954
1634	6829	34940
1635	6831	34925
1636	6833	34909
1637	6835	34895
1638	6837	34879
1639	6839	34863
1640	6840	34846
1641	6843	34832
1642	6844	34815
1643	6846	34797
1644	6847	34781
1645	6850	34769
1646	6852	34752
1647	6853	34734
1648	6855	34717
1649	6857	34701
1650	6858	34684
1651	6860	34668
1652	6862	34655
1653	6864	34639
1654	6866	34623
1655	6868	34606
1656	6870	34591
1657	6871	34574
1658	6873	34556
1659	6874	34540
1660	6876	34525
1661	6878	34509
1662	6880	34493
