B_smiles,B_Index,B_Atomid,N_smiles,N_Index,N_Atomid,Cl_smiles,Cl_Index,Cl_Atomid,B_N_Cl_conf,Cl_r_conf,deltaG_react,G_energy_qharm,deltaG_react_qharm,B_type,LB_type,Cl_type
B1CCCCC1,405,0,CSP(SC)SC,74,2,NCCl,553,2,0,0,-7.5878555,-2432.411077183296,-4.909814174997159,R2BH,Phosphine,CCl
CN1BN(C)CC1,436,2,COP(OC)c1ccccc1,88,2,CC(N)Cl,525,3,0,0,-4.398524,-1690.6471118640284,-2.357161308009882,R2BH,Phosphine,CCl
FBF,409,1,COP(OC)N(C)C,77,2,ClC(Cl)N1CCCC1,539,0,0,0,-39.9982305,-2101.7433479012498,-39.95803982464784,R2BH,Phosphine,CCl2
B1C2CCCC1CCC2,413,0,C=CCN(C)Cc1ccccc1,8,3,ClC(Cl)N1CCCC1,539,0,0,0,-16.842351,-1991.780584440347,-19.302838217140863,R2BH,Amine/Aryl N,CCl2
CN1BN(C)CC1,436,2,CC(C)OP(OC(C)C)OC(C)C,134,4,NCCl,553,2,0,0,-15.83176225,-1770.647667073952,-13.21337111491352,R2BH,Phosphine,CCl
CN1BN(C)CC1,436,2,CN1[C]N(C)CCC1,198,2,ClC(Cl)(Cl)Cl,602,0,0,0,-5.25349275,-2516.8696300242477,-5.937872345040844,R2BH,NHC,CCl4
BC1CC1,412,0,C#CCN(CC#C)CC#C,61,3,ClC(Cl)N1CCCC1,539,0,0,0,-23.59902,-1716.5094155734146,-22.511878156848358,RBH2,Amine/Aryl N,CCl2
CN1BN(C)CC1,436,2,CN1[C]N(C)CCC1,198,2,CNC(=O)C(Cl)(Cl)Cl,542,5,0,0,-8.178082,-2265.2481991957293,-8.784430974475004,R2BH,NHC,CCl3
CN1BN(C)CC1,436,2,CN1[C]N(C)CCC1,198,2,COC(=O)C(C)(Cl)C#N,513,6,0,0,-10.277195,-1497.451176729035,-11.824013512114462,R2BH,NHC,CCl
B1OCCO1,400,0,C=Cc1ccc(P(c2ccc(C=C)cc2)c2ccc(C=C)cc2)cc1,120,6,CN1CC(=O)C1Cl,526,6,0,0,-47.673685,-2268.3429526081004,-40.23945896341279,R2BH,Phosphine,CCl
COBC#N,441,2,CSP(SC)SC,74,2,ClC(Cl)N1CCCC1,539,0,0,0,-18.979867,-3059.5108026486423,-16.243373610173535,R2BH,Phosphine,CCl2
CN1BN(C)CC1,436,2,CN1[C]N(C)CCC1,198,2,CC(=O)C(Cl)(Cl)C(C)=O,536,4,0,0,-6.432879,-1902.910705124228,-8.207370631553914,R2BH,NHC,CCl2
BC(C)C,398,0,CC(C)(C)P(C1CCCCC1)C1CCCCC1,138,4,CN1CC(=O)C1Cl,526,6,0,0,-53.7264245,-1859.4493607358936,-53.538440812234185,RBH2,Phosphine,CCl
BC(F)(F)F,439,0,FP(F)F,141,1,CN1CC(=O)C1Cl,526,6,0,0,-31.12230575,-1750.1365928917317,-32.12017141656791,RBH2,Phosphine,CCl
CCBCC,433,2,COP(C)OC,80,2,CN1CC(=O)C1Cl,526,6,0,0,-38.1335515,-1540.7937477249088,-38.23073430288503,R2BH,Phosphine,CCl
BF,390,0,CN(C)CCO,4,1,CC(Cl)C#N,527,2,0,0,-54.15808175,-1045.8252420344045,-57.4994279731182,RBH2,Amine/Aryl N,CCl
Bc1nc(F)c(F)c(F)n1,429,0,N#CP(C#N)C#N,143,2,CN1CN(C)C(Cl)=C1Cl,488,6,0,0,-21.48453325,-2431.810931279929,-17.357386179152186,RBH2,Phosphine,CCl
FBF,409,1,C1=CCP(C2CCCCC2)C1,110,3,CN1CC(=O)C1Cl,526,6,1,0,-61.68055175,-1703.2182791632067,-58.40496843319869,R2BH,Phosphine,CCl
B1OCCO1,400,0,CP(C)[Si](C)(C)C,104,1,CN1CC(=O)C1Cl,526,6,0,0,-52.685653,-1830.3763336725783,-49.99318709699908,R2BH,Phosphine,CCl
CBF,442,1,CC(=O)CN(C)C,27,4,CN1CC(=O)C1Cl,526,6,0,0,-14.75572525,-1237.8148358216924,-11.070352473856811,R2BH,Amine/Aryl N,CCl
CN1BN(C)CC1,436,2,CC(C)OP(OC(C)C)OC(C)C,134,4,CC(C)(N)Cl,577,4,0,0,-17.54220175,-1849.244818045986,-15.215474611582268,R2BH,Phosphine,CCl
BC(C)(C)C,407,0,C#CCN(C)C,21,3,ClC(Cl)N1CCCC1,539,0,0,0,-20.215289,-1604.757191733261,-18.188375332550205,RBH2,Amine/Aryl N,CCl2
BC(F)(F)F,439,0,N#CP(C#N)C#N,143,2,ClCN1CCCC1,500,0,0,0,-16.0633725,-1694.2939900618649,-13.067972726527271,RBH2,Phosphine,CCl
