component_key,component_type,spin_metric_label,spin_metric_value,max_abs_spin_density,spin_contamination_before,n_reactions,outlier_fraction,mean_abs_bep_residual,median_abs_bep_residual
BN_00433_00016,BN_radical_complex_r,BN B-atom spin density,1.15784,1.15784,0.003,1,0.0,1.3893346353311156,1.3893346353311156
BN_00433_00022,BN_radical_complex_r,BN B-atom spin density,1.160337,1.160337,0.003,1,0.0,3.6891448821214645,3.6891448821214645
BN_00433_00031,BN_radical_complex_r,BN B-atom spin density,0.121364,0.990118,0.0069,1,1.0,11.116314706682676,11.116314706682676
BN_00433_00034,BN_radical_complex_r,BN B-atom spin density,1.184365,1.184365,0.0027,1,0.0,2.7732301361290883,2.7732301361290883
BN_00433_00067,BN_radical_complex_r,BN B-atom spin density,0.158299,0.847617,0.0114999999999999,1,1.0,12.276025578856547,12.276025578856547
BN_00433_00070,BN_radical_complex_r,BN B-atom spin density,0.68737,0.68737,0.0026,1,0.0,3.530186685520512,3.530186685520512
BN_00433_00071,BN_radical_complex_r,BN B-atom spin density,0.553206,0.595695,0.0027,1,0.0,0.07856643286219445,0.07856643286219445
BN_00433_00081,BN_radical_complex_r,BN B-atom spin density,0.703362,0.703362,0.0027,1,0.0,2.8742528575307116,2.8742528575307116
BN_00433_00084,BN_radical_complex_r,BN B-atom spin density,0.896636,0.896636,0.0032999999999999,1,0.0,8.170658542965203,8.170658542965203
BN_00433_00090,BN_radical_complex_r,BN B-atom spin density,0.79107,0.79107,0.0026,1,0.0,0.7433833377074919,0.7433833377074919
BN_00433_00093,BN_radical_complex_r,BN B-atom spin density,0.863014,0.863014,0.0033999999999999,1,0.0,3.0733497207624936,3.0733497207624936
BN_00433_00095,BN_radical_complex_r,BN B-atom spin density,0.666317,0.666317,0.0023999999999999,1,0.0,2.88815853608744,2.88815853608744
BN_00433_00109,BN_radical_complex_r,BN B-atom spin density,0.691017,0.691017,0.0032999999999999,1,0.0,4.057596274187894,4.057596274187894
BN_00433_00113,BN_radical_complex_r,BN B-atom spin density,0.8827,0.8827,0.0033999999999999,1,1.0,10.815471460465297,10.815471460465297
BN_00433_00114,BN_radical_complex_r,BN B-atom spin density,0.671287,0.671287,0.0024999999999999,1,0.0,2.264194116289307,2.264194116289307
BN_00433_00123,BN_radical_complex_r,BN B-atom spin density,0.73371,0.73371,0.0044999999999999,1,0.0,4.598831843645019,4.598831843645019
BN_00433_00126,BN_radical_complex_r,BN B-atom spin density,0.826194,0.826194,0.0037,1,0.0,3.2528888689049857,3.2528888689049857
BN_00433_00127,BN_radical_complex_r,BN B-atom spin density,0.832744,0.832744,0.0033999999999999,1,0.0,6.48455210473343,6.48455210473343
BN_00433_00135,BN_radical_complex_r,BN B-atom spin density,0.87596,0.87596,0.0030999999999999,1,0.0,0.392249426138374,0.392249426138374
BN_00433_00137,BN_radical_complex_r,BN B-atom spin density,0.539242,0.670537,0.0037,1,0.0,2.3384595825334493,2.3384595825334493
