identifier,B_Index,N_Index,Cl_Index,conf_idxs_ts,log_source,log_name_variant,log_found,log_path,normal_termination,charge,multiplicity,expected_s2,s2_before_annihilation,s2_after_annihilation,s2_final,spin_contamination_before,spin_contamination_after
B_00388_Nu_00001_Cl_00557_0010,388,1,557,10,TS_needIRC_base_then_conf_v1,conf_specific,True,E:\work\B_Cl_Nu\Sum\TS_needIRC\B_00388_Nu_00001_Cl_00557_0010.log,True,0,2,0.75,0.7563,0.75,0.75,0.006299999999999972,0.0
B_00388_Nu_00001_Cl_00558_0021,388,1,558,21,TS_needIRC_base_then_conf_v1,conf_specific,True,E:\work\B_Cl_Nu\Sum\TS_needIRC\B_00388_Nu_00001_Cl_00558_0021.log,True,0,2,0.75,0.7562,0.75,0.75,0.006199999999999983,0.0
B_00388_Nu_00001_Cl_00560_0012,388,1,560,12,TS_needIRC_base_then_conf_v1,conf_specific,True,E:\work\B_Cl_Nu\Sum\TS_needIRC\B_00388_Nu_00001_Cl_00560_0012.log,True,0,2,0.75,0.7569,0.75,0.75,0.006900000000000017,0.0
B_00388_Nu_00001_Cl_00562_0000,388,1,562,0,TS_needIRC_base_then_conf_v1,conf_specific,True,E:\work\B_Cl_Nu\Sum\TS_needIRC\B_00388_Nu_00001_Cl_00562_0000.log,True,0,2,0.75,0.7559,0.75,0.75,0.005900000000000016,0.0
B_00388_Nu_00001_Cl_00566_0014,388,1,566,14,TS_needIRC_base_then_conf_v1,conf_specific,True,E:\work\B_Cl_Nu\Sum\TS_needIRC\B_00388_Nu_00001_Cl_00566_0014.log,True,0,2,0.75,0.7529,0.75,0.75,0.0029000000000000137,0.0
B_00388_Nu_00001_Cl_00573_0010,388,1,573,10,TS_needIRC_base_then_conf_v1,conf_specific,True,E:\work\B_Cl_Nu\Sum\TS_needIRC\B_00388_Nu_00001_Cl_00573_0010.log,True,0,2,0.75,0.7562,0.75,0.75,0.006199999999999983,0.0
B_00388_Nu_00001_Cl_00582_0001,388,1,582,1,TS_needIRC_base_then_conf_v1,conf_specific,True,E:\work\B_Cl_Nu\Sum\TS_needIRC\B_00388_Nu_00001_Cl_00582_0001.log,True,0,2,0.75,0.7555,0.75,0.75,0.005499999999999949,0.0
B_00388_Nu_00001_Cl_00583_0001,388,1,583,1,TS_needIRC_base_then_conf_v1,conf_specific,True,E:\work\B_Cl_Nu\Sum\TS_needIRC\B_00388_Nu_00001_Cl_00583_0001.log,True,0,2,0.75,0.7565,0.75,0.75,0.00649999999999995,0.0
B_00388_Nu_00001_Cl_00596_0002,388,1,596,2,TS_needIRC_base_then_conf_v1,conf_specific,True,E:\work\B_Cl_Nu\Sum\TS_needIRC\B_00388_Nu_00001_Cl_00596_0002.log,True,0,2,0.75,0.756,0.75,0.75,0.006000000000000005,0.0
B_00388_Nu_00001_Cl_00606_0002,388,1,606,2,TS_needIRC_base_then_conf_v1,conf_specific,True,E:\work\B_Cl_Nu\Sum\TS_needIRC\B_00388_Nu_00001_Cl_00606_0002.log,True,0,2,0.75,0.7557,0.75,0.75,0.005700000000000038,0.0
B_00388_Nu_00001_Cl_00610_0002,388,1,610,2,TS_needIRC_base_then_conf_v1,conf_specific,True,E:\work\B_Cl_Nu\Sum\TS_needIRC\B_00388_Nu_00001_Cl_00610_0002.log,True,0,2,0.75,0.7527,0.75,0.75,0.0027000000000000357,0.0
B_00388_Nu_00002_Cl_00478_0010,388,2,478,10,TS_needIRC_base_then_conf_v1,conf_specific,True,E:\work\B_Cl_Nu\Sum\TS_needIRC\B_00388_Nu_00002_Cl_00478_0010.log,True,0,2,0.75,0.7562,0.75,0.75,0.006199999999999983,0.0
B_00388_Nu_00002_Cl_00490_0000,388,2,490,0,TS_needIRC_base_then_conf_v1,conf_specific,True,E:\work\B_Cl_Nu\Sum\TS_needIRC\B_00388_Nu_00002_Cl_00490_0000.log,True,0,2,0.75,0.7571,0.75,0.75,0.007099999999999995,0.0
B_00388_Nu_00002_Cl_00497_0012,388,2,497,12,TS_needIRC_base_then_conf_v1,conf_specific,True,E:\work\B_Cl_Nu\Sum\TS_needIRC\B_00388_Nu_00002_Cl_00497_0012.log,True,0,2,0.75,0.7578,0.75,0.75,0.007800000000000029,0.0
B_00388_Nu_00002_Cl_00498_0001,388,2,498,1,TS_needIRC_base_then_conf_v1,conf_specific,True,E:\work\B_Cl_Nu\Sum\TS_needIRC\B_00388_Nu_00002_Cl_00498_0001.log,True,0,2,0.75,0.7564,0.75,0.75,0.006399999999999961,0.0
B_00388_Nu_00002_Cl_00501_0000,388,2,501,0,TS_needIRC_base_then_conf_v1,conf_specific,True,E:\work\B_Cl_Nu\Sum\TS_needIRC\B_00388_Nu_00002_Cl_00501_0000.log,True,0,2,0.75,0.7554,0.75,0.75,0.00539999999999996,0.0
B_00388_Nu_00002_Cl_00506_0001,388,2,506,1,TS_needIRC_base_then_conf_v1,conf_specific,True,E:\work\B_Cl_Nu\Sum\TS_needIRC\B_00388_Nu_00002_Cl_00506_0001.log,True,0,2,0.75,0.7562,0.75,0.75,0.006199999999999983,0.0
B_00388_Nu_00002_Cl_00507_0011,388,2,507,11,TS_needIRC_base_then_conf_v1,conf_specific,True,E:\work\B_Cl_Nu\Sum\TS_needIRC\B_00388_Nu_00002_Cl_00507_0011.log,True,0,2,0.75,0.7565,0.75,0.75,0.00649999999999995,0.0
B_00388_Nu_00002_Cl_00553_0010,388,2,553,10,TS_needIRC_base_then_conf_v1,conf_specific,True,E:\work\B_Cl_Nu\Sum\TS_needIRC\B_00388_Nu_00002_Cl_00553_0010.log,True,0,2,0.75,0.7577,0.75,0.75,0.00770000000000004,0.0
B_00388_Nu_00002_Cl_00554_0002,388,2,554,2,TS_needIRC_base_then_conf_v1,conf_specific,True,E:\work\B_Cl_Nu\Sum\TS_needIRC\B_00388_Nu_00002_Cl_00554_0002.log,True,0,2,0.75,0.7553,0.75,0.75,0.005299999999999971,0.0
B_00388_Nu_00002_Cl_00555_0011,388,2,555,11,TS_needIRC_base_then_conf_v1,conf_specific,True,E:\work\B_Cl_Nu\Sum\TS_needIRC\B_00388_Nu_00002_Cl_00555_0011.log,True,0,2,0.75,0.757,0.75,0.75,0.007000000000000006,0.0
B_00388_Nu_00002_Cl_00573_0000,388,2,573,0,TS_needIRC_base_then_conf_v1,conf_specific,True,E:\work\B_Cl_Nu\Sum\TS_needIRC\B_00388_Nu_00002_Cl_00573_0000.log,True,0,2,0.75,0.7569,0.75,0.75,0.006900000000000017,0.0
B_00388_Nu_00002_Cl_00606_0012,388,2,606,12,TS_needIRC_base_then_conf_v1,conf_specific,True,E:\work\B_Cl_Nu\Sum\TS_needIRC\B_00388_Nu_00002_Cl_00606_0012.log,True,0,2,0.75,0.756,0.75,0.75,0.006000000000000005,0.0
B_00388_Nu_00002_Cl_00609_0012,388,2,609,12,TS_needIRC_base_then_conf_v1,conf_specific,True,E:\work\B_Cl_Nu\Sum\TS_needIRC\B_00388_Nu_00002_Cl_00609_0012.log,True,0,2,0.75,0.7528,0.75,0.75,0.0028000000000000247,0.0
B_00388_Nu_00003_Cl_00500_0002,388,3,500,2,TS_needIRC_base_then_conf_v1,conf_specific,True,E:\work\B_Cl_Nu\Sum\TS_needIRC\B_00388_Nu_00003_Cl_00500_0002.log,True,0,2,0.75,0.7581,0.75,0.75,0.008099999999999996,0.0
B_00388_Nu_00006_Cl_00500_0011,388,6,500,11,TS_needIRC_base_then_conf_v1,conf_specific,True,E:\work\B_Cl_Nu\Sum\TS_needIRC\B_00388_Nu_00006_Cl_00500_0011.log,True,0,2,0.75,0.7578,0.75,0.75,0.007800000000000029,0.0
B_00388_Nu_00013_Cl_00488_0010,388,13,488,10,TS_needIRC_base_then_conf_v1,conf_specific,True,E:\work\B_Cl_Nu\Sum\TS_needIRC\B_00388_Nu_00013_Cl_00488_0010.log,True,0,2,0.75,0.7561,0.75,0.75,0.006099999999999994,0.0
B_00388_Nu_00013_Cl_00500_0000,388,13,500,0,TS_needIRC_base_then_conf_v1,conf_specific,True,E:\work\B_Cl_Nu\Sum\TS_needIRC\B_00388_Nu_00013_Cl_00500_0000.log,True,0,2,0.75,0.7581,0.75,0.75,0.008099999999999996,0.0
B_00388_Nu_00014_Cl_00474_0010,388,14,474,10,TS_needIRC_base_then_conf_v1,conf_specific,True,E:\work\B_Cl_Nu\Sum\TS_needIRC\B_00388_Nu_00014_Cl_00474_0010.log,True,0,2,0.75,0.7573,0.75,0.75,0.007299999999999973,0.0
B_00388_Nu_00015_Cl_00475_0011,388,15,475,11,TS_needIRC_base_then_conf_v1,conf_specific,True,E:\work\B_Cl_Nu\Sum\TS_needIRC\B_00388_Nu_00015_Cl_00475_0011.log,True,0,2,0.75,0.7597,0.7501,0.7501,0.009700000000000042,9.999999999998899e-05
B_00388_Nu_00015_Cl_00488_0000,388,15,488,0,TS_needIRC_base_then_conf_v1,conf_specific,True,E:\work\B_Cl_Nu\Sum\TS_needIRC\B_00388_Nu_00015_Cl_00488_0000.log,True,0,2,0.75,0.7566,0.75,0.75,0.00660000000000005,0.0
B_00388_Nu_00016_Cl_00476_0010,388,16,476,10,TS_needIRC_base_then_conf_v1,conf_specific,True,E:\work\B_Cl_Nu\Sum\TS_needIRC\B_00388_Nu_00016_Cl_00476_0010.log,True,0,2,0.75,0.7582,0.75,0.75,0.008199999999999985,0.0
B_00388_Nu_00017_Cl_00477_0002,388,17,477,2,TS_needIRC_base_then_conf_v1,conf_specific,True,E:\work\B_Cl_Nu\Sum\TS_needIRC\B_00388_Nu_00017_Cl_00477_0002.log,True,0,2,0.75,0.7569,0.75,0.75,0.006900000000000017,0.0
B_00388_Nu_00018_Cl_00478_0000,388,18,478,0,TS_needIRC_base_then_conf_v1,conf_specific,True,E:\work\B_Cl_Nu\Sum\TS_needIRC\B_00388_Nu_00018_Cl_00478_0000.log,True,0,2,0.75,0.757,0.75,0.75,0.007000000000000006,0.0
B_00388_Nu_00018_Cl_00552_0000,388,18,552,0,TS_needIRC_base_then_conf_v1,conf_specific,True,E:\work\B_Cl_Nu\Sum\TS_needIRC\B_00388_Nu_00018_Cl_00552_0000.log,True,0,2,0.75,0.7533,0.75,0.75,0.0032999999999999696,0.0
B_00388_Nu_00019_Cl_00488_0003,388,19,488,3,TS_needIRC_base_then_conf_v1,conf_specific,True,E:\work\B_Cl_Nu\Sum\TS_needIRC\B_00388_Nu_00019_Cl_00488_0003.log,True,0,2,0.75,0.7556,0.75,0.75,0.005600000000000049,0.0
B_00388_Nu_00021_Cl_00481_0001,388,21,481,1,TS_needIRC_base_then_conf_v1,conf_specific,True,E:\work\B_Cl_Nu\Sum\TS_needIRC\B_00388_Nu_00021_Cl_00481_0001.log,True,0,2,0.75,0.7582,0.75,0.75,0.008199999999999985,0.0
B_00388_Nu_00021_Cl_00488_0011,388,21,488,11,TS_needIRC_base_then_conf_v1,conf_specific,True,E:\work\B_Cl_Nu\Sum\TS_needIRC\B_00388_Nu_00021_Cl_00488_0011.log,True,0,2,0.75,0.7565,0.75,0.75,0.00649999999999995,0.0
B_00388_Nu_00022_Cl_00525_0010,388,22,525,10,TS_needIRC_base_then_conf_v1,conf_specific,True,E:\work\B_Cl_Nu\Sum\TS_needIRC\B_00388_Nu_00022_Cl_00525_0010.log,True,0,2,0.75,0.7573,0.75,0.75,0.007299999999999973,0.0
B_00388_Nu_00024_Cl_00488_0020,388,24,488,20,TS_needIRC_base_then_conf_v1,conf_specific,True,E:\work\B_Cl_Nu\Sum\TS_needIRC\B_00388_Nu_00024_Cl_00488_0020.log,True,0,2,0.75,0.756,0.75,0.75,0.006000000000000005,0.0
B_00388_Nu_00024_Cl_00517_0010,388,24,517,10,TS_needIRC_base_then_conf_v1,conf_specific,True,E:\work\B_Cl_Nu\Sum\TS_needIRC\B_00388_Nu_00024_Cl_00517_0010.log,True,0,2,0.75,0.7571,0.75,0.75,0.007099999999999995,0.0
B_00388_Nu_00025_Cl_00484_0000,388,25,484,0,TS_needIRC_base_then_conf_v1,conf_specific,True,E:\work\B_Cl_Nu\Sum\TS_needIRC\B_00388_Nu_00025_Cl_00484_0000.log,True,0,2,0.75,0.7584,0.75,0.75,0.008399999999999963,0.0
B_00388_Nu_00025_Cl_00520_0001,388,25,520,1,TS_needIRC_base_then_conf_v1,conf_specific,True,E:\work\B_Cl_Nu\Sum\TS_needIRC\B_00388_Nu_00025_Cl_00520_0001.log,True,0,2,0.75,0.755,0.75,0.75,0.0050000000000000044,0.0
B_00388_Nu_00027_Cl_00486_0020,388,27,486,20,TS_needIRC_base_then_conf_v1,conf_specific,True,E:\work\B_Cl_Nu\Sum\TS_needIRC\B_00388_Nu_00027_Cl_00486_0020.log,True,0,2,0.75,0.7603,0.7501,0.7501,0.010299999999999976,9.999999999998899e-05
B_00388_Nu_00027_Cl_00488_0010,388,27,488,10,TS_needIRC_base_then_conf_v1,conf_specific,True,E:\work\B_Cl_Nu\Sum\TS_needIRC\B_00388_Nu_00027_Cl_00488_0010.log,True,0,2,0.75,0.7558,0.75,0.75,0.005800000000000027,0.0
B_00388_Nu_00027_Cl_00500_0001,388,27,500,1,TS_needIRC_base_then_conf_v1,conf_specific,True,E:\work\B_Cl_Nu\Sum\TS_needIRC\B_00388_Nu_00027_Cl_00500_0001.log,True,0,2,0.75,0.7578,0.75,0.75,0.007800000000000029,0.0
B_00388_Nu_00027_Cl_00517_0000,388,27,517,0,TS_needIRC_base_then_conf_v1,conf_specific,True,E:\work\B_Cl_Nu\Sum\TS_needIRC\B_00388_Nu_00027_Cl_00517_0000.log,True,0,2,0.75,0.7574,0.75,0.75,0.007399999999999962,0.0
B_00388_Nu_00027_Cl_00525_0010,388,27,525,10,TS_needIRC_base_then_conf_v1,conf_specific,True,E:\work\B_Cl_Nu\Sum\TS_needIRC\B_00388_Nu_00027_Cl_00525_0010.log,True,0,2,0.75,0.7574,0.75,0.75,0.007399999999999962,0.0
B_00388_Nu_00028_Cl_00487_0001,388,28,487,1,TS_needIRC_base_then_conf_v1,conf_specific,True,E:\work\B_Cl_Nu\Sum\TS_needIRC\B_00388_Nu_00028_Cl_00487_0001.log,True,0,2,0.75,0.759,0.75,0.75,0.009000000000000008,0.0
B_00388_Nu_00029_Cl_00488_0020,388,29,488,20,TS_needIRC_base_then_conf_v1,conf_specific,True,E:\work\B_Cl_Nu\Sum\TS_needIRC\B_00388_Nu_00029_Cl_00488_0020.log,True,0,2,0.75,0.7562,0.75,0.75,0.006199999999999983,0.0
B_00388_Nu_00030_Cl_00488_0001,388,30,488,1,TS_needIRC_base_then_conf_v1,conf_specific,True,E:\work\B_Cl_Nu\Sum\TS_needIRC\B_00388_Nu_00030_Cl_00488_0001.log,True,0,2,0.75,0.7562,0.75,0.75,0.006199999999999983,0.0
B_00388_Nu_00030_Cl_00525_0011,388,30,525,11,TS_needIRC_base_then_conf_v1,conf_specific,True,E:\work\B_Cl_Nu\Sum\TS_needIRC\B_00388_Nu_00030_Cl_00525_0011.log,True,0,2,0.75,0.757,0.75,0.75,0.007000000000000006,0.0
B_00388_Nu_00032_Cl_00488_0012,388,32,488,12,TS_needIRC_base_then_conf_v1,conf_specific,True,E:\work\B_Cl_Nu\Sum\TS_needIRC\B_00388_Nu_00032_Cl_00488_0012.log,True,0,2,0.75,0.7565,0.75,0.75,0.00649999999999995,0.0
