key,barrier_qharm_kcal,delta_g_rxn_qharm_kcal,reactant_complex_key,reactant_cl_key,product_complex_key,product_c_radical_key
B_00388_LB_00019_Cl_00488,8.658464251628912,-48.072069055300744,B_00388_LB_00019_r,Cl_00488_r,B_00388_LB_00019_p,Cl_00488_p
B_00388_LB_00021_Cl_00481,9.119487448216677,-27.706204074900942,B_00388_LB_00021_r,Cl_00481_r,B_00388_LB_00021_p,Cl_00481_p
B_00388_LB_00021_Cl_00488,8.835527579175505,-47.7886087427241,B_00388_LB_00021_r,Cl_00488_r,B_00388_LB_00021_p,Cl_00488_p
B_00388_LB_00022_Cl_00525,12.022554567806472,-35.44319335858351,B_00388_LB_00022_r,Cl_00525_r,B_00388_LB_00022_p,Cl_00525_p
B_00388_LB_00024_Cl_00488,10.459702482162223,-45.525026480485145,B_00388_LB_00024_r,Cl_00488_r,B_00388_LB_00024_p,Cl_00488_p
B_00388_LB_00024_Cl_00517,11.592922634996736,-36.44317860497449,B_00388_LB_00024_r,Cl_00517_r,B_00388_LB_00024_p,Cl_00517_p
B_00388_LB_00025_Cl_00484,9.505952254602272,-34.78897920908931,B_00388_LB_00025_r,Cl_00484_r,B_00388_LB_00025_p,Cl_00484_p
B_00388_LB_00025_Cl_00520,9.14145916987414,-35.16314407681215,B_00388_LB_00025_r,Cl_00520_r,B_00388_LB_00025_p,Cl_00520_p
B_00388_LB_00027_Cl_00486,23.64665061387563,-13.216570600251394,B_00388_LB_00027_r,Cl_00486_r,B_00388_LB_00027_p,Cl_00486_p
B_00388_LB_00027_Cl_00488,20.52105977968706,-37.033611877959004,B_00388_LB_00027_r,Cl_00488_r,B_00388_LB_00027_p,Cl_00488_p
B_00388_LB_00027_Cl_00500,21.549543124958056,-27.194689531845878,B_00388_LB_00027_r,Cl_00500_r,B_00388_LB_00027_p,Cl_00500_p
B_00388_LB_00027_Cl_00517,19.28071205830305,-27.951764002448357,B_00388_LB_00027_r,Cl_00517_r,B_00388_LB_00027_p,Cl_00517_p
B_00388_LB_00027_Cl_00525,20.454677160413574,-27.931816072609898,B_00388_LB_00027_r,Cl_00525_r,B_00388_LB_00027_p,Cl_00525_p
B_00388_LB_00028_Cl_00487,10.532498696294809,-28.243615229753225,B_00388_LB_00028_r,Cl_00487_r,B_00388_LB_00028_p,Cl_00487_p
B_00388_LB_00029_Cl_00488,10.7365500006163,-45.335351684941735,B_00388_LB_00029_r,Cl_00488_r,B_00388_LB_00029_p,Cl_00488_p
B_00388_LB_00030_Cl_00488,12.299884212542509,-42.913898491602815,B_00388_LB_00030_r,Cl_00488_r,B_00388_LB_00030_p,Cl_00488_p
B_00388_LB_00030_Cl_00525,12.627863394243539,-33.81210268632505,B_00388_LB_00030_r,Cl_00525_r,B_00388_LB_00030_p,Cl_00525_p
B_00388_LB_00032_Cl_00488,10.48815460996746,-43.8195594512045,B_00388_LB_00032_r,Cl_00488_r,B_00388_LB_00032_p,Cl_00488_p
B_00388_LB_00033_Cl_00486,14.523789398078117,-21.956785683604767,B_00388_LB_00033_r,Cl_00486_r,B_00388_LB_00033_p,Cl_00486_p
B_00388_LB_00033_Cl_00488,10.20074600701677,-45.77382696131238,B_00388_LB_00033_r,Cl_00488_r,B_00388_LB_00033_p,Cl_00488_p
B_00388_LB_00033_Cl_00583,11.7251826866038,-41.272279213470064,B_00388_LB_00033_r,Cl_00583_r,B_00388_LB_00033_p,Cl_00583_p
B_00388_LB_00042_Cl_00458,6.51318048473588,-52.66612171657961,B_00388_LB_00042_r,Cl_00458_r,B_00388_LB_00042_p,Cl_00458_p
B_00388_LB_00046_Cl_00462,30.140244340815418,-14.74007355140669,B_00388_LB_00046_r,Cl_00462_r,B_00388_LB_00046_p,Cl_00462_p
B_00388_LB_00051_Cl_00445,1.7046545888863454,-61.53118408739363,B_00388_LB_00051_r,Cl_00445_r,B_00388_LB_00051_p,Cl_00445_p
B_00388_LB_00051_Cl_00446,1.6421145483733706,-61.65024259511481,B_00388_LB_00051_r,Cl_00446_r,B_00388_LB_00051_p,Cl_00446_p
B_00388_LB_00051_Cl_00447,3.350511677614482,-60.78591486135164,B_00388_LB_00051_r,Cl_00447_r,B_00388_LB_00051_p,Cl_00447_p
B_00388_LB_00051_Cl_00454,3.0478409059833775,-62.336176503269066,B_00388_LB_00051_r,Cl_00454_r,B_00388_LB_00051_p,Cl_00454_p
B_00388_LB_00051_Cl_00455,0.09245076727535094,-63.69198756223092,B_00388_LB_00051_r,Cl_00455_r,B_00388_LB_00051_p,Cl_00455_p
B_00388_LB_00051_Cl_00462,5.587091888209861,-39.44817769717165,B_00388_LB_00051_r,Cl_00462_r,B_00388_LB_00051_p,Cl_00462_p
B_00388_LB_00051_Cl_00476,10.721569218733107,-37.461834107523295,B_00388_LB_00051_r,Cl_00476_r,B_00388_LB_00051_p,Cl_00476_p
B_00388_LB_00051_Cl_00487,12.234558220942324,-25.984348207579593,B_00388_LB_00051_r,Cl_00487_r,B_00388_LB_00051_p,Cl_00487_p
B_00388_LB_00051_Cl_00491,5.242146975703138,-61.7534939538621,B_00388_LB_00051_r,Cl_00491_r,B_00388_LB_00051_p,Cl_00491_p
B_00388_LB_00051_Cl_00495,10.66667018304063,-33.60643410166116,B_00388_LB_00051_r,Cl_00495_r,B_00388_LB_00051_p,Cl_00495_p
