identifier,B_Index,N_Index,N_Atomid,Cl_Index,conf_idxs_ts,deltaG_qharm(kcal/mol),deltaGa_qharm(kcal/mol),bep_fit_deltaGa(kcal/mol),bep_residual(kcal/mol),bep_abs_residual(kcal/mol),bep_outlier_2sigma,bep_outlier_top5pct,log_found,log_path,log_source,log_name_variant,normal_termination,multiplicity,expected_s2,s2_before_annihilation,s2_after_annihilation,s2_final,spin_contamination_before,spin_contamination_after,high_spin_contamination
B_00388_Nu_00001_Cl_00562_0000,388,1,1,562,0,-39.0329683,10.25690849,8.399878368434331,1.8570301215656695,1.8570301215656695,False,False,True,E:\work\B_Cl_Nu\Sum\TS_needIRC\B_00388_Nu_00001_Cl_00562_0000.log,TS_needIRC_base_then_conf_v1,conf_specific,True,2,0.75,0.7559,0.75,0.75,0.0059,0.0,False
B_00388_Nu_00001_Cl_00566_0014,388,1,1,566,14,-51.25055157,9.331823402,3.9484339465152267,5.383389455484773,5.383389455484773,False,False,True,E:\work\B_Cl_Nu\Sum\TS_needIRC\B_00388_Nu_00001_Cl_00566_0014.log,TS_needIRC_base_then_conf_v1,conf_specific,True,2,0.75,0.7529,0.75,0.75,0.0029,0.0,False
B_00388_Nu_00001_Cl_00573_0010,388,1,1,573,10,-38.62989725,10.72893093,8.546736248385542,2.182194681614458,2.182194681614458,False,False,True,E:\work\B_Cl_Nu\Sum\TS_needIRC\B_00388_Nu_00001_Cl_00573_0010.log,TS_needIRC_base_then_conf_v1,conf_specific,True,2,0.75,0.7562,0.75,0.75,0.0061999999999999,0.0,False
B_00388_Nu_00001_Cl_00582_0001,388,1,1,582,1,-38.65203944,10.34897668,8.538668799530365,1.8103078804696349,1.8103078804696349,False,False,True,E:\work\B_Cl_Nu\Sum\TS_needIRC\B_00388_Nu_00001_Cl_00582_0001.log,TS_needIRC_base_then_conf_v1,conf_specific,True,2,0.75,0.7555,0.75,0.75,0.0054999999999999,0.0,False
B_00388_Nu_00001_Cl_00583_0001,388,1,1,583,1,-41.60025531,11.32113421,7.464494079448848,3.8566401305511526,3.8566401305511526,False,False,True,E:\work\B_Cl_Nu\Sum\TS_needIRC\B_00388_Nu_00001_Cl_00583_0001.log,TS_needIRC_base_then_conf_v1,conf_specific,True,2,0.75,0.7565,0.75,0.75,0.0064999999999999,0.0,False
B_00388_Nu_00001_Cl_00596_0002,388,1,1,596,2,-26.69571379,9.734997409,12.894924692791063,-3.1599272837910632,3.1599272837910632,False,False,True,E:\work\B_Cl_Nu\Sum\TS_needIRC\B_00388_Nu_00001_Cl_00596_0002.log,TS_needIRC_base_then_conf_v1,conf_specific,True,2,0.75,0.756,0.75,0.75,0.006,0.0,False
B_00388_Nu_00001_Cl_00606_0002,388,1,1,606,2,-35.25689073,9.855491309,9.775682327715252,0.07980898128474756,0.07980898128474756,False,False,True,E:\work\B_Cl_Nu\Sum\TS_needIRC\B_00388_Nu_00001_Cl_00606_0002.log,TS_needIRC_base_then_conf_v1,conf_specific,True,2,0.75,0.7557,0.75,0.75,0.0057,0.0,False
B_00388_Nu_00001_Cl_00610_0002,388,1,1,610,2,-53.82983368,8.909173414,3.008679274303752,5.900494139696248,5.900494139696248,False,False,True,E:\work\B_Cl_Nu\Sum\TS_needIRC\B_00388_Nu_00001_Cl_00610_0002.log,TS_needIRC_base_then_conf_v1,conf_specific,True,2,0.75,0.7527,0.75,0.75,0.0027,0.0,False
B_00388_Nu_00002_Cl_00478_0010,388,2,5,478,10,-24.55285174,10.54159817,13.675670860720773,-3.1340726907207728,3.1340726907207728,False,False,True,E:\work\B_Cl_Nu\Sum\TS_needIRC\B_00388_Nu_00002_Cl_00478_0010.log,TS_needIRC_base_then_conf_v1,conf_specific,True,2,0.75,0.7562,0.75,0.75,0.0061999999999999,0.0,False
B_00388_Nu_00002_Cl_00490_0000,388,2,5,490,0,-27.25893744,9.291650482,12.689715633054863,-3.3980651510548636,3.3980651510548636,False,False,True,E:\work\B_Cl_Nu\Sum\TS_needIRC\B_00388_Nu_00002_Cl_00490_0000.log,TS_needIRC_base_then_conf_v1,conf_specific,True,2,0.75,0.7571,0.75,0.75,0.0070999999999999,0.0,False
B_00388_Nu_00002_Cl_00497_0012,388,2,5,497,12,-35.29640563,11.41357612,9.7612851775342,1.6522909424658003,1.6522909424658003,False,False,True,E:\work\B_Cl_Nu\Sum\TS_needIRC\B_00388_Nu_00002_Cl_00497_0012.log,TS_needIRC_base_then_conf_v1,conf_specific,True,2,0.75,0.7578,0.75,0.75,0.0078,0.0,False
B_00388_Nu_00002_Cl_00498_0001,388,2,5,498,1,-37.01109192,10.42905952,9.136543724803209,1.29251579519679,1.29251579519679,False,False,True,E:\work\B_Cl_Nu\Sum\TS_needIRC\B_00388_Nu_00002_Cl_00498_0001.log,TS_needIRC_base_then_conf_v1,conf_specific,True,2,0.75,0.7564,0.75,0.75,0.0063999999999999,0.0,False
B_00388_Nu_00002_Cl_00501_0000,388,2,5,501,0,-36.94994308,8.048419053,9.1588231442849,-1.1104040912849005,1.1104040912849005,False,False,True,E:\work\B_Cl_Nu\Sum\TS_needIRC\B_00388_Nu_00002_Cl_00501_0000.log,TS_needIRC_base_then_conf_v1,conf_specific,True,2,0.75,0.7554,0.75,0.75,0.0053999999999999,0.0,False
B_00388_Nu_00002_Cl_00506_0001,388,2,5,506,1,-39.93476453,10.83073921,8.071311277134187,2.7594279328658136,2.7594279328658136,False,False,True,E:\work\B_Cl_Nu\Sum\TS_needIRC\B_00388_Nu_00002_Cl_00506_0001.log,TS_needIRC_base_then_conf_v1,conf_specific,True,2,0.75,0.7562,0.75,0.75,0.0061999999999999,0.0,False
B_00388_Nu_00002_Cl_00507_0011,388,2,5,507,11,-38.96252712,10.95943829,8.425543427624422,2.5338948623755773,2.5338948623755773,False,False,True,E:\work\B_Cl_Nu\Sum\TS_needIRC\B_00388_Nu_00002_Cl_00507_0011.log,TS_needIRC_base_then_conf_v1,conf_specific,True,2,0.75,0.7565,0.75,0.75,0.0064999999999999,0.0,False
B_00388_Nu_00002_Cl_00553_0010,388,2,5,553,10,-36.0563014,10.84932939,9.484419146679112,1.364910243320887,1.364910243320887,False,False,True,E:\work\B_Cl_Nu\Sum\TS_needIRC\B_00388_Nu_00002_Cl_00553_0010.log,TS_needIRC_base_then_conf_v1,conf_specific,True,2,0.75,0.7577,0.75,0.75,0.0077,0.0,False
B_00388_Nu_00002_Cl_00554_0002,388,2,5,554,2,-36.12792355,9.038355898,9.4583238041668,-0.4199679061668,0.4199679061668,False,False,True,E:\work\B_Cl_Nu\Sum\TS_needIRC\B_00388_Nu_00002_Cl_00554_0002.log,TS_needIRC_base_then_conf_v1,conf_specific,True,2,0.75,0.7553,0.75,0.75,0.0052999999999999,0.0,False
B_00388_Nu_00002_Cl_00555_0011,388,2,5,555,11,-37.97059009,10.95418905,8.786953082996346,2.167235967003654,2.167235967003654,False,False,True,E:\work\B_Cl_Nu\Sum\TS_needIRC\B_00388_Nu_00002_Cl_00555_0011.log,TS_needIRC_base_then_conf_v1,conf_specific,True,2,0.75,0.757,0.75,0.75,0.007,0.0,False
B_00388_Nu_00002_Cl_00573_0000,388,2,5,573,0,-38.35014413,10.69108833,8.648663563961634,2.0424247660383656,2.0424247660383656,False,False,True,E:\work\B_Cl_Nu\Sum\TS_needIRC\B_00388_Nu_00002_Cl_00573_0000.log,TS_needIRC_base_then_conf_v1,conf_specific,True,2,0.75,0.7569,0.75,0.75,0.0069,0.0,False
B_00388_Nu_00002_Cl_00606_0012,388,2,5,606,12,-34.97713762,10.38895984,9.87760963964787,0.5113502003521297,0.5113502003521297,False,False,True,E:\work\B_Cl_Nu\Sum\TS_needIRC\B_00388_Nu_00002_Cl_00606_0012.log,TS_needIRC_base_then_conf_v1,conf_specific,True,2,0.75,0.756,0.75,0.75,0.006,0.0,False
B_00388_Nu_00002_Cl_00609_0012,388,2,5,609,12,-45.96485388,7.090441431,5.874264037305448,1.2161773936945526,1.2161773936945526,False,False,True,E:\work\B_Cl_Nu\Sum\TS_needIRC\B_00388_Nu_00002_Cl_00609_0012.log,TS_needIRC_base_then_conf_v1,conf_specific,True,2,0.75,0.7528,0.75,0.75,0.0028,0.0,False
B_00388_Nu_00003_Cl_00500_0002,388,3,2,500,2,-37.74479901,7.021450743,8.86921947082225,-1.8477687278222499,1.8477687278222499,False,False,True,E:\work\B_Cl_Nu\Sum\TS_needIRC\B_00388_Nu_00003_Cl_00500_0002.log,TS_needIRC_base_then_conf_v1,conf_specific,True,2,0.75,0.7581,0.75,0.75,0.0080999999999999,0.0,False
B_00388_Nu_00006_Cl_00500_0011,388,6,5,500,11,-35.82339481,13.76420916,9.569278051911988,4.194931108088012,4.194931108088012,False,False,True,E:\work\B_Cl_Nu\Sum\TS_needIRC\B_00388_Nu_00006_Cl_00500_0011.log,TS_needIRC_base_then_conf_v1,conf_specific,True,2,0.75,0.7578,0.75,0.75,0.0078,0.0,False
B_00388_Nu_00013_Cl_00488_0010,388,13,1,488,10,-45.40774938,10.32661518,6.077243600787568,4.249371579212431,4.249371579212431,False,False,True,E:\work\B_Cl_Nu\Sum\TS_needIRC\B_00388_Nu_00013_Cl_00488_0010.log,TS_needIRC_base_then_conf_v1,conf_specific,True,2,0.75,0.7561,0.75,0.75,0.0060999999999999,0.0,False
B_00388_Nu_00013_Cl_00500_0000,388,13,1,500,0,-35.56882703,11.75515265,9.662029154911536,2.093123495088463,2.093123495088463,False,False,True,E:\work\B_Cl_Nu\Sum\TS_needIRC\B_00388_Nu_00013_Cl_00500_0000.log,TS_needIRC_base_then_conf_v1,conf_specific,True,2,0.75,0.7581,0.75,0.75,0.0080999999999999,0.0,False
B_00388_Nu_00014_Cl_00474_0010,388,14,5,474,10,-22.69248446,9.907203655,14.353490800087293,-4.446287145087293,4.446287145087293,False,False,True,E:\work\B_Cl_Nu\Sum\TS_needIRC\B_00388_Nu_00014_Cl_00474_0010.log,TS_needIRC_base_then_conf_v1,conf_specific,True,2,0.75,0.7573,0.75,0.75,0.0072999999999999,0.0,False
B_00388_Nu_00015_Cl_00475_0011,388,15,1,475,11,-28.10536108,10.84781167,12.381323399698024,-1.5335117296980236,1.5335117296980236,False,False,True,E:\work\B_Cl_Nu\Sum\TS_needIRC\B_00388_Nu_00015_Cl_00475_0011.log,TS_needIRC_base_then_conf_v1,conf_specific,True,2,0.75,0.7597,0.7501,0.7501,0.0097,9.9999999999989e-05,False
B_00388_Nu_00015_Cl_00488_0000,388,15,1,488,0,-44.76325671,10.97582229,6.312062814820166,4.663759475179834,4.663759475179834,False,False,True,E:\work\B_Cl_Nu\Sum\TS_needIRC\B_00388_Nu_00015_Cl_00488_0000.log,TS_needIRC_base_then_conf_v1,conf_specific,True,2,0.75,0.7566,0.75,0.75,0.0066,0.0,False
B_00388_Nu_00016_Cl_00476_0010,388,16,3,476,10,-39.24051056,10.90708724,8.32426089031507,2.582826349684929,2.582826349684929,False,False,True,E:\work\B_Cl_Nu\Sum\TS_needIRC\B_00388_Nu_00016_Cl_00476_0010.log,TS_needIRC_base_then_conf_v1,conf_specific,True,2,0.75,0.7582,0.75,0.75,0.0081999999999999,0.0,False
B_00388_Nu_00017_Cl_00477_0002,388,17,4,477,2,-23.52169327,12.81481588,14.051370744892393,-1.236554864892394,1.236554864892394,False,False,True,E:\work\B_Cl_Nu\Sum\TS_needIRC\B_00388_Nu_00017_Cl_00477_0002.log,TS_needIRC_base_then_conf_v1,conf_specific,True,2,0.75,0.7569,0.75,0.75,0.0069,0.0,False
