key,barrier_kcal,delta_g_rxn_kcal,barrier_qharm_kcal,delta_g_rxn_qharm_kcal,reactant_complex_key,reactant_cl_key,product_complex_key,product_c_radical_key,barrier_aarontools_rrho_kcal,delta_g_rxn_aarontools_rrho_kcal,barrier_qrrho_kcal,delta_g_rxn_qrrho_kcal,barrier_full_qrrho_kcal,delta_g_rxn_full_qrrho_kcal,delta_barrier_qharm_vs_original,delta_barrier_qharm_vs_at_rrho,delta_barrier_at_rrho_vs_original,delta_rxn_qharm_vs_original,abs_delta
B_00422_LB_00279_Cl_00523,22.94374685,-14.59495975,9.430265122268674,-17.12174652857685,B_00422_LB_00279_r,Cl_00523_r,B_00422_LB_00279_p,Cl_00523_p,8.39612381519179,-16.67508987470089,9.447741485434824,-17.032910287581707,8.399034105723764,-16.812103818108643,-13.513481727731326,1.034141307076883,-14.54762303480821,-2.5267867785768505,13.513481727731326
B_00422_LB_00384_Cl_00446,33.00011832,-8.0414125,19.521543045562968,-10.27146666020355,B_00422_LB_00384_r,Cl_00446_r,B_00422_LB_00384_p,Cl_00446_p,18.661353319624023,-9.465733117533958,19.642298653257356,-9.941146847830785,18.516802106475247,-9.892573080907871,-13.47857527443703,0.8601897259389446,-14.338765000375975,-2.230054160203551,13.47857527443703
B_00417_LB_00366_Cl_00445,31.00597352,-14.077335,17.64487550696147,-16.55234041112495,B_00417_LB_00366_r,Cl_00445_r,B_00417_LB_00366_p,Cl_00445_p,16.38597239546918,-16.98148244370869,17.57287426173501,-16.783229113370165,16.478166973938713,-16.76880413634708,-13.361098013038532,1.2589031114922875,-14.62000112453082,-2.4750054111249487,13.361098013038532
B_00408_LB_00366_Cl_00549,32.71821395,-6.1024375,19.46179937014462,-8.741811486956008,B_00408_LB_00366_r,Cl_00549_r,B_00408_LB_00366_p,Cl_00549_p,17.417037238262072,-8.109690492047367,19.18588166208188,-8.468119478667791,17.827266143124643,-8.35691801473555,-13.256414579855377,2.0447621318825497,-15.301176711737927,-2.6393739869560084,13.256414579855377
B_00422_LB_00267_Cl_00450,26.3541215,-23.20244,13.182628840987425,-24.10741380606079,B_00422_LB_00267_r,Cl_00450_r,B_00422_LB_00267_p,Cl_00450_p,11.582911962588284,-24.356067050152927,12.770961532543266,-24.137614733195946,11.968748995331042,-24.310244210156437,-13.171492659012577,1.599716878399141,-14.771209537411718,-0.9049738060607915,13.171492659012577
B_00419_LB_00363_Cl_00622,33.0866694,-6.8145245,19.97017510112975,-8.803557192343577,B_00419_LB_00363_r,Cl_00622_r,B_00419_LB_00363_p,Cl_00622_p,18.109868554880837,-8.569266919205115,19.75397989162003,-8.538084160723152,18.461493061669835,-8.789132816855728,-13.116494298870247,1.8603065462489141,-14.976800845119161,-1.989032692343577,13.116494298870247
B_00403_LB_00274_Cl_00505,31.03867255,-4.19904175,18.020201628610963,-8.133788900437212,B_00403_LB_00274_r,Cl_00505_r,B_00403_LB_00274_p,Cl_00505_p,17.309939871318573,-7.218131663253719,17.95088890074492,-7.9670527405091045,17.351699176149705,-7.489992126446151,-13.018470921389039,0.7102617572923897,-13.728732678681428,-3.934747150437212,13.018470921389039
B_00417_LB_00364_Cl_00621,26.03056368,-26.13663,13.062355743881245,-25.87455605067284,B_00417_LB_00364_r,Cl_00621_r,B_00417_LB_00364_p,Cl_00621_p,11.456635051021289,-26.087157805399137,12.875883297781007,-25.931692436105273,11.717911600199354,-26.049419275652532,-12.968207936118755,1.605720692859956,-14.573928628978711,0.26207394932716,12.968207936118755
B_00417_LB_00366_Cl_00472,32.0321682,-9.55362475,19.07543141407083,-11.744481000050571,B_00417_LB_00366_r,Cl_00472_r,B_00417_LB_00366_p,Cl_00472_p,17.859985661050235,-12.07427785301361,18.998612139133968,-12.015039768103113,17.922175869016474,-11.886149053675707,-12.95673678592917,1.215445753020596,-14.172182538949766,-2.1908562500505706,12.95673678592917
B_00411_LB_00367_Cl_00621,30.77477115,-7.62789,17.829479932330294,-8.98078768048243,B_00411_LB_00367_r,Cl_00621_r,B_00411_LB_00367_p,Cl_00621_p,16.062906787420197,-8.769364511345412,17.59102370837231,-8.783021687709951,16.411383611848745,-8.94705184095457,-12.945291217669705,1.7665731449100974,-14.711864362579803,-1.3528976804824309,12.945291217669705
B_00422_LB_00267_Cl_00614,25.8497621,-16.88546025,12.90651226374939,-18.60707225958413,B_00422_LB_00267_r,Cl_00614_r,B_00422_LB_00267_p,Cl_00614_p,11.32579792901553,-18.5569221906226,12.702299636409789,-18.677221998047678,11.610689591616682,-18.49339214389041,-12.94324983625061,1.5807143347338588,-14.523964170984469,-1.7216120095841276,12.94324983625061
B_00422_LB_00384_Cl_00544,32.33548287,-6.7839025,19.42454401201866,-7.911012644910074,B_00422_LB_00384_r,Cl_00544_r,B_00422_LB_00384_p,Cl_00544_p,18.054126170284277,-7.616778534790365,19.30281888347595,-7.77794007008347,18.210138229667038,-7.748659466033215,-12.910938857981339,1.3704178417343833,-14.281356699715722,-1.1271101449100742,12.910938857981339
B_00422_LB_00292_Cl_00613,32.80792135,-5.193817501,19.911113842894903,-7.263299440653241,B_00422_LB_00292_r,Cl_00613_r,B_00422_LB_00292_p,Cl_00613_p,17.465382633531455,-7.029918561805938,19.42535238363206,-7.0514298578932095,18.080453164847558,-7.223380696099069,-12.896807507105098,2.445731209363448,-15.342538716468546,-2.069481939653241,12.896807507105098
