reaction_key,B_Index,N_Index,N_Atomid,Cl_Index,opt_path,spe_path,ts_opt_min,ts_spe_min,ts_opt_spe_min,LB_B_opt_min,LB_B_spe_min,LB_B_min,C_Cl_opt_min,C_Cl_spe_min,C_Cl_min,LB_B_Cl_opt_min,LB_B_Cl_spe_min,LB_B_Cl_min,C_radical_opt_min,C_radical_spe_min,C_radical_min,components_min,complete_min,component_fraction
TS:388:339:562,388,339,4,562,E:\work\B_Cl_Nu\Sum\TS_needIRC\B_00388_Nu_00339_Cl_00562_0001.log,E:\work\B_Cl_Nu\Sum\TS_ENG\B_00388_Nu_00339_Cl_00562_0001.log,7.906666666666666,2.3666666666666667,10.273333333333333,1.4833333333333332,0.3083333333333333,1.7916666666666665,2.6383333333333336,0.355,2.9933333333333336,0.8233333333333333,0.12,0.9433333333333332,2.2183333333333333,0.335,2.5533333333333332,8.281666666666666,18.555,0.4463307284649241
TS:388:339:606,388,339,4,606,E:\work\B_Cl_Nu\Sum\TS_needIRC\B_00388_Nu_00339_Cl_00606_0000.log,E:\work\B_Cl_Nu\Sum\TS_ENG\B_00388_Nu_00339_Cl_00606_0000.log,2.825,0.9683333333333334,3.7933333333333334,1.4833333333333332,0.3083333333333333,1.7916666666666665,0.5533333333333333,0.0849999999999999,0.6383333333333332,0.8233333333333333,0.12,0.9433333333333332,0.6433333333333333,0.0733333333333333,0.7166666666666666,4.09,7.883333333333333,0.5188160676532769
TS:388:339:614,388,339,4,614,E:\work\B_Cl_Nu\Sum\TS_needIRC\B_00388_Nu_00339_Cl_00614_0000.log,E:\work\B_Cl_Nu\Sum\TS_ENG\B_00388_Nu_00339_Cl_00614_0000.log,15.356666666666667,2.398333333333333,17.755,1.4833333333333332,0.3083333333333333,1.7916666666666665,1.8366666666666664,0.69,2.5266666666666664,0.8233333333333333,0.12,0.9433333333333332,1.7,0.3233333333333333,2.0233333333333334,7.285,25.04,0.2909345047923323
TS:388:340:462,388,340,3,462,E:\work\B_Cl_Nu\Sum\TS_needIRC\B_00388_Nu_00340_Cl_00462_0000.log,E:\work\B_Cl_Nu\Sum\TS_ENG\B_00388_Nu_00340_Cl_00462_0000.log,2.898333333333333,2.1533333333333333,5.051666666666666,3.5666666666666664,0.61,4.176666666666667,0.2716666666666666,0.0566666666666666,0.3283333333333332,1.825,0.3116666666666666,2.1366666666666667,0.4266666666666666,0.07,0.4966666666666666,7.138333333333334,12.19,0.5855892808312825
TS:388:341:462,388,341,2,462,E:\work\B_Cl_Nu\Sum\TS_needIRC\B_00388_Nu_00341_Cl_00462_0000.log,E:\work\B_Cl_Nu\Sum\TS_ENG\B_00388_Nu_00341_Cl_00462_0000.log,2.225,2.413333333333333,4.638333333333334,2.64,0.6649999999999999,3.305,0.2716666666666666,0.0566666666666666,0.3283333333333332,3.286666666666666,0.32,3.606666666666666,0.4266666666666666,0.07,0.4966666666666666,7.736666666666666,12.375,0.6251851851851852
TS:388:342:462,388,342,4,462,E:\work\B_Cl_Nu\Sum\TS_needIRC\B_00388_Nu_00342_Cl_00462_0010.log,E:\work\B_Cl_Nu\Sum\TS_ENG\B_00388_Nu_00342_Cl_00462_0010.log,7.415,2.5933333333333333,10.008333333333333,3.395,0.7799999999999999,4.175,0.2716666666666666,0.0566666666666666,0.3283333333333332,2.15,0.3566666666666666,2.5066666666666664,0.4266666666666666,0.07,0.4966666666666666,7.506666666666666,17.515,0.4285850223617851
TS:388:343:462,388,343,3,462,E:\work\B_Cl_Nu\Sum\TS_needIRC\B_00388_Nu_00343_Cl_00462_0010.log,E:\work\B_Cl_Nu\Sum\TS_ENG\B_00388_Nu_00343_Cl_00462_0010.log,3.681666666666666,2.21,5.891666666666666,1.55,0.6666666666666666,2.216666666666667,0.2716666666666666,0.0566666666666666,0.3283333333333332,4.178333333333334,0.2983333333333333,4.476666666666667,0.4266666666666666,0.07,0.4966666666666666,7.518333333333333,13.409999999999998,0.5606512552821278
TS:388:343:563,388,343,3,563,E:\work\B_Cl_Nu\Sum\TS_needIRC\B_00388_Nu_00343_Cl_00563_0000.log,E:\work\B_Cl_Nu\Sum\TS_ENG\B_00388_Nu_00343_Cl_00563_0000.log,16.861666666666665,3.32,20.181666666666665,1.55,0.6666666666666666,2.216666666666667,1.73,0.33,2.06,4.178333333333334,0.2983333333333333,4.476666666666667,4.53,0.3416666666666667,4.871666666666667,13.625,33.806666666666665,0.40302701636758037
TS:388:343:610,388,343,3,610,E:\work\B_Cl_Nu\Sum\TS_needIRC\B_00388_Nu_00343_Cl_00610_0001.log,E:\work\B_Cl_Nu\Sum\TS_ENG\B_00388_Nu_00343_Cl_00610_0001.log,9.181666666666668,2.03,11.211666666666668,1.55,0.6666666666666666,2.216666666666667,1.2716666666666667,0.2066666666666666,1.4783333333333333,4.178333333333334,0.2983333333333333,4.476666666666667,1.163333333333333,0.2233333333333333,1.3866666666666665,9.558333333333334,20.770000000000003,0.46019900497512434
TS:388:344:462,388,344,4,462,E:\work\B_Cl_Nu\Sum\TS_needIRC\B_00388_Nu_00344_Cl_00462_0000.log,E:\work\B_Cl_Nu\Sum\TS_ENG\B_00388_Nu_00344_Cl_00462_0000.log,3.63,3.418333333333333,7.048333333333333,2.17,1.0116666666666667,3.1816666666666666,0.2716666666666666,0.0566666666666666,0.3283333333333332,3.8133333333333335,0.44,4.253333333333334,0.4266666666666666,0.07,0.4966666666666666,8.26,15.308333333333334,0.539575394665215
