B_Index,N_Index,Cl_Index,Conf_id,TS_G,deltaG(kcal/mol),deltaGa(kcal/mol),B_Cl,C_Cl
388,292,604,1,-1542.607559,-1.8427165,23.57100213,2.009067818,2.326033569
388,292,605,10,-1067.002963,-0.95072525,30.90714228,2.029451535,2.190398958
388,292,608,0,-1609.080502,11.222712,37.63613853,2.034336222,2.346091768
388,295,462,10,-1448.431493,-1.693246,32.44680765,2.216759051,2.185530927
388,296,462,0,-1512.973876,3.39985775,33.2988146,2.004454377,2.294341104
388,296,608,0,-1687.668482,6.47761975,35.93753995,2.014784333,2.301828788
388,298,483,11,-1647.408522,14.74028875,25.18002508,2.00754385,2.027981697
388,299,462,0,-1478.90948,-3.89595925,31.15410745,2.285402958,2.177258933
388,300,462,0,-1402.161428,3.0811505,35.50925865,2.184565315,2.223806926
388,300,487,11,-1057.946364,15.897336,42.7283826,2.023427061,2.338615045
388,300,577,10,-1076.519738,5.03506,8.831039675,2.611325572,2.22738239
388,300,608,0,-1576.856942,6.1589125,37.57860305,2.105959164,2.269421247
388,302,488,2,-1699.772383,4.8850875,24.5722223,2.05278115,2.118158424
388,302,489,0,-2391.645577,17.53768375,41.52331905,2.010210007,2.177414609
388,302,579,0,-1566.000817,8.683847,29.38731845,2.005733285,2.440822741
388,303,617,0,-3437.204569,1.88595125,26.1095471,2.325301589,2.05947435
388,304,489,0,-2285.798035,0.31720125,27.91293817,2.309222063,2.063434424
388,304,490,0,-1006.198212,8.697903,35.12894345,2.204047647,2.154804197
388,306,546,10,-2258.854195,3.5337035,26.68335192,2.035651992,2.407040375
388,306,547,0,-2161.123471,3.5650785,27.63621068,2.026623667,2.284215417
388,306,548,1,-2246.277667,1.3500035,30.7337954,2.046267585,2.228567335
388,306,614,0,-1244.053642,5.93194575,29.35069755,2.02176673,2.343415062
388,306,619,10,-2655.461223,0.961581,27.5749855,2.078063305,2.19923033
388,307,584,0,-1181.690517,-0.65881225,31.22154487,2.255721794,2.227764649
388,309,462,10,-1448.399865,-1.00443925,32.8840873,2.229675551,2.193662737
388,332,608,0,-1738.448551,-3.6476575,31.98494255,2.120346776,2.199938101
388,333,466,1,-1907.541405,17.40728925,22.20864315,2.008569077,2.459274111
388,333,471,11,-1634.879039,2.358145,31.7134233,2.029868645,2.257157963
388,366,462,10,-1816.762607,6.55517875,34.50919308,2.01363704,2.312209107
388,384,462,10,-1534.588158,2.4042035,31.36682995,2.020913014,2.270207756
388,385,462,0,-1512.510907,-0.6901245,32.54404505,2.185441547,2.202328848
389,46,483,2,-1646.180416,8.85935875,36.33494197,2.313514686,1.968390924
389,70,483,0,-2083.514674,3.96121925,28.35858868,2.242171182,2.022781471
389,72,483,3,-2093.575371,0.96628725,26.69476615,2.2512262,1.993832186
389,77,483,11,-2102.915799,1.94832475,26.9648798,2.239465148,2.015345685
389,80,483,0,-2008.294377,0.97808425,27.20025505,2.239976591,2.019325863
389,141,480,10,-2093.157229,25.641909,30.20672677,2.201746007,2.055906721
389,141,483,10,-2037.781146,8.15499,34.38319735,2.145999942,2.065715087
389,141,485,0,-2059.780599,2.017287,31.40587927,2.188833931,2.07004507
389,141,492,0,-1908.360754,30.82976525,34.24547993,2.118396548,2.080092932
389,143,475,0,-1315.448618,-2.272554,25.15119145,1.867871724,2.277076387
389,143,478,12,-1521.027292,2.63041725,31.58430263,2.122850827,2.117523045
389,143,479,10,-2192.180909,-1.32528,29.521365,2.162755457,2.067650106
389,143,480,0,-2071.956291,23.0652685,29.08609335,2.198110101,2.05975979
389,143,481,11,-1513.940511,0.60622775,30.07052163,2.056424338,2.102209764
389,143,485,0,-2038.581325,-0.5593535,29.24071562,2.191042563,2.073269838
389,143,490,10,-1375.39256,0.274594,30.2791842,2.135089686,2.097001014
389,143,492,12,-1887.159094,28.25312475,33.5776756,2.057183165,2.0642156
389,143,596,3,-1628.244362,0.719115,30.05800927,2.083891014,2.095614679
389,143,618,12,-2808.592436,-0.18705775,29.95742102,2.153940287,2.081593962
389,160,482,12,-2031.93763,10.91981775,33.22360245,2.068946661,2.250218493
389,160,490,10,-1209.641273,18.60656725,39.59340515,2.001014786,2.316190069
389,160,494,0,-1735.404411,5.5878875,31.40182562,2.120634496,2.197687743
389,176,483,1,-1929.346139,8.415026,29.57027863,2.20374089,2.073492262
389,177,483,1,-1776.807838,11.7898465,33.20515395,2.171720286,2.081638735
389,178,483,10,-1878.389018,14.742485,31.53688873,2.038243446,1.99534045
389,193,483,10,-1968.695777,16.828546,38.41647242,2.154825564,2.102988564
389,201,483,0,-2046.827722,6.75949275,19.29507908,2.06796806,2.028321137
389,223,483,11,-1837.898609,13.14844675,29.67204658,2.010333426,2.012247534
389,237,483,1,-1802.214769,3.743665,19.4330726,2.018477943,1.989905016
389,245,483,2,-1758.361814,13.620515,32.9719122,2.001790538,1.975719987
389,260,483,11,-1857.554329,-2.3108315,12.3311531,2.057534482,2.021434112
389,263,483,10,-1876.240335,9.1003815,29.24608702,2.022381361,1.965063578
389,296,483,10,-1924.101632,18.429173,40.97661595,2.106606949,2.089877374
389,298,483,1,-1739.659898,12.96082425,28.9953694,2.005166181,1.987647571
389,301,483,13,-1928.886151,11.84161525,24.58806668,2.027218112,2.056305502
389,307,483,2,-1814.658921,13.102702,27.95094585,2.01298131,2.010615617
389,308,483,1,-1798.640247,8.40278975,22.80294213,2.016634876,1.987649508
389,323,483,23,-1894.297771,0.12568825,20.15762802,2.023542242,1.985210757
389,324,483,10,-1739.689197,5.06248175,22.553103,2.013511155,1.939003958
389,328,483,10,-1859.582407,14.6030545,33.65891802,2.001853478,1.961373433
389,367,483,10,-1968.2432,24.0075225,43.48140143,2.010305691,2.035298405
389,377,488,10,-1781.081819,5.34862175,19.41151798,2.097444489,2.101942234
390,160,484,1,-1387.715119,12.59511725,37.31957733,2.046600899,2.43843874
390,178,484,12,-1415.258619,0.21027525,31.54630122,2.364248887,2.268494804
390,245,484,10,-1295.244379,4.5575325,34.42890445,2.15505879,2.299201976
390,263,484,10,-1413.116371,-0.5239625,33.80965607,2.250739215,2.277151818
390,273,484,1,-1366.384475,4.07467125,32.61470155,2.094544431,2.278251763
390,280,484,3,-1352.7475,1.91770275,33.7342494,2.172404337,2.276306739
390,291,484,11,-1594.948006,7.05015075,30.54178667,2.058716685,2.314683668
390,293,484,12,-1426.94791,1.01033775,37.03665012,2.28743182,2.254895504
390,296,484,11,-1461.004093,10.03667425,31.79375585,2.030734987,2.385038671
390,298,484,0,-1276.524393,2.1383945,38.54748188,2.277425962,2.262084529
390,300,484,2,-1350.187226,10.0697435,38.00529677,2.04285025,2.303674318
390,302,483,1,-1852.552821,34.16932025,53.02774717,1.994435587,2.210991623
390,304,484,10,-1276.526633,0.04976075,36.62138317,2.241224339,2.240763629
390,306,483,0,-1852.563232,36.084764,52.90918733,2.014528379,2.18135427
390,306,484,4,-1382.410232,21.01290425,32.90377825,2.014615349,2.490091547
390,307,484,11,-1351.529818,0.93641825,33.92002077,2.178069965,2.244196088
390,328,484,10,-1396.469126,1.45347825,30.78968682,2.137605246,2.241915283
390,333,448,0,-2445.855473,0.7822415,30.85854868,2.082092857,2.336792805
390,333,488,15,-1907.39036,14.34910525,20.55959825,2.216969241,2.046085687
390,333,574,11,-1524.458809,6.265964,37.2393389,2.048120163,2.353712233
390,377,483,0,-1841.601588,39.199925,55.5413804,2.015140549,2.142070692
391,138,484,10,-1879.9134,-4.00094,21.3297792,2.419040575,2.067517568
391,160,484,0,-1364.552357,13.178002,33.3497927,2.045437137,2.355636686
391,160,523,11,-1359.041413,-0.66207525,29.10847628,2.263093931,2.163050191
391,263,484,10,-1389.941261,-0.7887675,33.35690855,2.257559219,2.261498961
391,280,484,0,-1329.575582,1.006008,32.438487,2.090023799,2.236611012
391,302,526,1,-1296.941585,-2.40709,8.14177485,2.506506485,2.306653743
391,306,483,11,-1829.404471,36.43785825,43.4249327,2.554504296,1.976066976
391,333,488,10,-1884.218693,14.28761025,19.05141455,2.149947351,2.02979616
391,348,483,14,-1764.016263,9.2805995,23.9825229,2.026746014,2.031814893
391,377,483,0,-1818.432049,38.2477565,52.18216583,2.01277184,2.148491861
392,27,492,0,-1541.436282,37.44449375,45.71511318,2.70060879,1.82901446
392,27,517,10,-1084.231524,-0.919664,46.9898606,3.033148724,1.977107895
392,160,485,0,-1819.877653,21.94574575,37.40970515,2.013968336,2.314713135
392,200,485,10,-1824.175668,3.920118,11.41723073,2.039017331,2.407084484
